origin,dest,route,origin_city,dest_city,origin_tier,dest_tier,distance_miles,departures,seats,passengers,revenue,op_cost,asm,rpm,load_factor,rasm_cents,yield_cents_per_mile,operating_profit,operating_margin_pct,seasonality_index
SEA,JFK,SEA-JFK,Seattle-Tacoma,New York JFK,hub,spoke,2415.1,356,55300,46437,14408811.2,7304828.69,133555030.0,112149998.69999999,0.8397287522603978,10.788669808991843,12.847803269747162,7103982.509999999,49.30304389025515,0.23403751318991323
SEA,MIA,SEA-MIA,Seattle-Tacoma,Miami,hub,spoke,2721.5,338,61011,46353,14533091.5,8117864.92,166041436.5,126149689.5,0.7597482421202734,8.752689573364417,11.520513096467035,6415226.58,44.142201815766455,0.48307552909196816
MIA,SEA,MIA-SEA,Miami,Seattle-Tacoma,spoke,hub,2721.5,359,60282,48231,14397128.620000001,8613732.74,164057463.0,131260666.5,0.8000895789787996,8.775662110537453,10.968349471240877,5783395.880000001,40.1704814386801,0.514440919740416
LAX,JFK,LAX-JFK,Los Angeles,New York JFK,spoke,spoke,2469.6,247,37050,28696,10488779.559999999,4859070.96,91498680.0,70867641.6,0.7745209176788124,11.463312432485363,14.800520129062683,5629708.599999999,53.67362873626833,0.14956788402564816
SEA,ATL,SEA-ATL,Seattle-Tacoma,Atlanta,hub,hub,2177.8,344,50801,43820,12215851.6,6812666.340000001,110634417.80000001,95431196.0,0.8625814452471408,11.041637713575964,12.800690038506904,5403185.259999999,44.23093401036403,1.2357827476038339
SEA,BOS,SEA-BOS,Seattle-Tacoma,Boston,hub,spoke,2488.9,332,40321,34946,11286205.420000002,6094712.42,100354936.9,86977099.4,0.8666947744351579,11.24628819332156,12.976065536625612,5191493.000000002,45.998569109864754,1.3563784124077147
JFK,SEA,JFK-SEA,New York JFK,Seattle-Tacoma,spoke,hub,2415.1,322,45752,38479,11325946.74,6222070.140000001,110495655.19999999,92930632.9,0.8410342717258262,10.25012858605141,12.187527822163363,5103876.6,45.063575850790194,0.6823462148184725
ATL,BOI,ATL-BOI,Atlanta,Boise,hub,spoke,1834.4,356,58697,46781,11024471.53,6200720.88,107673776.8,85815066.4,0.796991328347275,10.238771089526786,12.846778534917034,4823750.649999999,43.754937702669174,0.43573245548406403
BOS,SEA,BOS-SEA,Boston,Seattle-Tacoma,spoke,hub,2488.9,344,53410,44600,12587968.83,7837692.57,132932149.0,111004940.0,0.8350496161767459,9.46946914248712,11.340007778032222,4750276.26,37.736638246823496,0.5362331838565022
DTW,SEA,DTW-SEA,Detroit,Seattle-Tacoma,spoke,hub,1922.2,336,55531,44481,10947576.879999999,6295326.16,106741688.2,85501378.2,0.8010120473249176,10.25613990617023,12.803977094254604,4652250.719999999,42.4957117999248,0.6013354016321576
STL,SEA,STL-SEA,St. Louis,Seattle-Tacoma,spoke,hub,1705.3,351,56653,50357,10809993.62,6267847.31,96610360.9,85873792.1,0.8888673150583376,11.189269473063316,12.588233680669145,4542146.31,42.01802951665387,0.32114701034612864
ATL,SEA,ATL-SEA,Atlanta,Seattle-Tacoma,hub,hub,2177.8,388,59200,43998,11201520.02,6738156.61,128925760.0,95818844.4,0.7432094594594595,8.688349031256436,11.69031007433022,4463363.409999999,39.84605126831706,0.5328424019273603
JFK,DEN,JFK-DEN,New York JFK,Denver,spoke,hub,1621.5,320,53252,45020,9797143.120000001,5352446.5600000005,86348118.0,72999930.0,0.8454142567415308,11.346099193499505,13.420756869218916,4444696.5600000005,45.367271923654414,0.44247001332741004
GEG,ORD,GEG-ORD,Spokane,Chicago O'Hare,spoke,hub,1493.9,345,58658,49676,9406399.75,5003414.14,87629186.2,74210976.4,0.8468751065498312,10.734322841400529,12.675213568541594,4402985.61,46.808404139958014,0.3450358321926081
DEN,JFK,DEN-JFK,Denver,New York JFK,hub,spoke,1621.5,321,52041,41551,9137057.51,4751181.029999999,84384481.5,67374946.5,0.7984281624104071,10.827888431121071,13.561506145314711,4385876.48,48.00097268951086,0.45553656951697913
JFK,LAX,JFK-LAX,New York JFK,Los Angeles,spoke,spoke,2469.6,248,33044,27916,9303977.34,5017842.2299999995,81605462.4,68941353.6,0.844812976637211,11.40116980698586,13.495495597579913,4286135.11,46.0677724522489,0.8747671586187132
DFW,GEG,DFW-GEG,Dallas/Fort Worth,Spokane,hub,spoke,1475.2,356,57859,44563,9359215.04,5124517.32,85353596.8,65739337.6,0.7701999688898875,10.965226294950934,14.236856320255953,4234697.719999999,45.246291509506754,0.5454749455826583
SFO,ATL,SFO-ATL,San Francisco,Atlanta,spoke,hub,2134.4,356,52903,40652,10875733.21,6672774.79,112916163.2,86767628.80000001,0.7684252310833034,9.631688592479557,12.53432110616811,4202958.420000001,38.6452879897373,0.9617239004231034
GEG,ATL,GEG-ATL,Spokane,Atlanta,spoke,hub,1965.1,333,42846,37743,9201039.14,5068593.01,84196674.6,74168769.3,0.8808990337487747,10.92803152109288,12.405543771103131,4132446.130000001,44.91281981439327,0.8763479320668733
PDX,ATL,PDX-ATL,Portland,Atlanta,spoke,hub,2168.0,344,53520,44588,10534053.73,6526328.93,116031360.0,96666784.0,0.8331091180866965,9.07862644202395,10.897283735021123,4007724.8000000007,38.04541824754866,0.4919709338835561
LAX,ATL,LAX-ATL,Los Angeles,Atlanta,spoke,hub,1942.3,356,49401,40503,9893720.34,5952657.97,95951562.3,78668976.9,0.8198821886196636,10.311161280591259,12.57639380842132,3941062.37,39.833977862365984,0.7939165000123448
ORD,GEG,ORD-GEG,Chicago O'Hare,Spokane,hub,spoke,1493.9,379,63337,54398,9222962.86,5298989.92,94619144.3,81265172.2,0.8588660656488308,9.747459595235423,11.34921961071043,3923972.9399999995,42.54568731940009,0.5620794882164786
LAS,ATL,LAS-ATL,Las Vegas,Atlanta,spoke,hub,1742.6,332,50935,40978,9597639.67,5715832.13,88759331.0,71408262.8,0.8045155590458427,10.813105013150674,13.440516956533497,3881807.54,40.44543943583996,0.8548977500122017
ORD,LAX,ORD-LAX,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,325,43052,32469,8624624.67,4808621.14,74979363.2,56548010.4,0.7541809904301775,11.502664602518257,15.251862283027378,3816003.5300000003,44.245444596257435,0.5691582740460132
ORD,PDX,ORD-PDX,Chicago O'Hare,Portland,hub,spoke,1735.0,318,50898,40329,9351450.25,5549395.35,88308030.0,69970815.0,0.7923494046917364,10.58958086824041,13.36478680432692,3802054.9000000004,40.65738252737858,0.43938604974088125
JFK,SFO,JFK-SFO,New York JFK,San Francisco,spoke,spoke,2580.0,242,32164,25595,8625967.02,4942955.21,82983120.0,66035100.0,0.7957654520582017,10.394845385422963,13.062700018626458,3683011.8099999996,42.69679911203741,0.5576089079898418
SEA,DFW,SEA-DFW,Seattle-Tacoma,Dallas/Fort Worth,hub,hub,1657.8,328,52242,43235,8999304.48,5327146.11,86606787.6,71674983.0,0.827590827303702,10.390992125887372,12.555712053674291,3672158.37,40.80491307034874,0.3701630623337574
