origin,dest,quarter,origin_city,dest_city,origin_tier,dest_tier,distance_miles,departures,seats,passengers,load_factor,avg_fare,revenue,op_cost,casm_cents,asm,rpm,rasm_cents,yield_cents_per_mile,operating_profit,operating_margin_pct,route
ORD,LAX,1,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,91,13650,9692,0.71,228.84,2217917.28,1385781.8,5.83,23772840.0,16879587.2,9.329626918786312,13.139641708773542,832135.4799999997,37.518778878894885,ORD-LAX
LAX,ORD,1,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,72,11520,6863,0.596,193.36,1327029.68,1267661.72,6.32,20063232.0,11952600.799999999,6.614236828841934,11.102434542949013,59367.95999999996,4.473747716026967,LAX-ORD
ORD,LAX,2,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,82,12300,8450,0.687,288.42,2437149.0,1331017.78,6.21,21421680.0,14716520.0,11.37702084990533,16.560633899862196,1106131.22,45.38627798300391,ORD-LAX
LAX,ORD,2,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,71,13419,10090,0.752,203.33,2051599.7,1673017.54,7.16,23370530.4,17572744.0,8.778575688637344,11.674896646761598,378582.1599999999,18.453022780223645,LAX-ORD
ORD,LAX,3,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,75,11250,9255,0.823,299.29,2769928.95,1227715.97,6.27,19593000.0,16118508.0,14.137339611085592,17.184772622875517,1542212.9800000002,55.676986949430606,ORD-LAX
LAX,ORD,3,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,102,15300,13913,0.909,197.81,2752130.53,1533062.12,5.75,26646480.0,24230880.799999997,10.328308016668618,11.357946715663758,1219068.4099999997,44.29544299266938,LAX-ORD
ORD,LAX,4,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,77,5852,5072,0.867,236.52,1199629.44,864105.59,8.48,10191843.2,8833395.2,11.77048563698468,13.580615525953146,335523.85,27.968957647454868,ORD-LAX
LAX,ORD,4,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,64,4864,3939,0.81,239.23,942326.97,654346.79,7.72,8471142.4,6860162.399999999,11.123965641281156,13.736219568213137,287980.17999999993,30.560536752970147,LAX-ORD
ORD,JFK,1,Chicago O'Hare,New York JFK,hub,spoke,737.8,91,17199,10901,0.634,94.85,1033959.85,1077807.23,8.49,12689422.2,8042757.8,8.148202760563834,12.855787476280836,-43847.380000000005,-4.240723660594752,ORD-JFK
JFK,ORD,1,New York JFK,Chicago O'Hare,spoke,hub,737.8,85,12750,6775,0.531,122.24,828176.0,715854.98,7.61,9406950.0,4998595.0,8.80387373165585,16.568175657359717,112321.02000000002,13.562457738451734,JFK-ORD
ORD,JFK,2,Chicago O'Hare,New York JFK,hub,spoke,737.8,100,15000,9614,0.641,103.3,993126.2,848861.19,7.67,11067000.0,7093209.199999999,8.973761633685733,14.001084304689618,144265.01,14.526352240027501,ORD-JFK
JFK,ORD,2,New York JFK,Chicago O'Hare,spoke,hub,737.8,95,17955,13603,0.758,117.91,1603929.73,1124785.83,8.49,13247199.0,10036293.399999999,12.107689557618935,15.981295744104095,479143.8999999999,29.873122932885586,JFK-ORD
ORD,JFK,3,Chicago O'Hare,New York JFK,hub,spoke,737.8,74,13986,12445,0.89,74.42,926156.9,778330.53,7.54,10318870.799999999,9181921.0,8.975370638422957,10.086744375169422,147826.37,15.961266390176437,ORD-JFK
JFK,ORD,3,New York JFK,Chicago O'Hare,spoke,hub,737.8,78,11700,11349,0.97,114.07,1294580.43,670372.68,7.77,8632260.0,8373292.199999999,14.997004608294931,15.460829493087559,624207.7499999999,48.216992589637705,JFK-ORD
ORD,JFK,4,Chicago O'Hare,New York JFK,hub,spoke,737.8,77,12320,9633,0.782,100.71,970139.43,740776.06,8.15,9089696.0,7107227.399999999,10.672957929506113,13.650040661425864,229363.37,23.64230984818337,ORD-JFK
JFK,ORD,4,New York JFK,Chicago O'Hare,spoke,hub,737.8,75,11250,9827,0.874,125.47,1232993.69,596430.94,7.19,8300249.999999999,7250360.6,14.85489822595705,17.0059636757929,636562.75,51.627413437939005,JFK-ORD
ORD,MIA,1,Chicago O'Hare,Miami,hub,spoke,1199.5,88,6688,5060,0.757,156.07,789714.2,805508.62,10.04,8022256.0,6069470.0,9.844041376889493,13.011254689453938,-15794.420000000042,-2.000017221420109,ORD-MIA
MIA,ORD,1,Miami,Chicago O'Hare,spoke,hub,1199.5,74,11100,8869,0.799,188.22,1669323.18,882446.94,6.63,13314450.0,10638365.5,12.537680339781215,15.691538140892039,786876.24,47.13744165464713,MIA-ORD
ORD,MIA,2,Chicago O'Hare,Miami,hub,spoke,1199.5,95,15200,10130,0.666,152.8,1547864.0,1084771.19,5.95,18232400.0,12150935.0,8.489633838660845,12.738641100458526,463092.81000000006,29.918184672555213,ORD-MIA
MIA,ORD,2,Miami,Chicago O'Hare,spoke,hub,1199.5,78,14742,11484,0.779,163.87,1881883.08,1231433.39,6.96,17683029.0,13775058.0,10.642311789456434,13.661525635681535,650449.6900000002,34.56376737283807,MIA-ORD
ORD,MIA,3,Chicago O'Hare,Miami,hub,spoke,1199.5,85,13600,10607,0.78,170.28,1806159.96,1038739.87,6.37,16313200.0,12723096.5,11.071769855086679,14.195914964568571,767420.09,42.48904343998413,ORD-MIA
MIA,ORD,3,Miami,Chicago O'Hare,spoke,hub,1199.5,92,17388,15806,0.909,198.64,3139703.84,1327736.06,6.37,20856906.0,18959297.0,15.053545525880013,16.56023343059608,1811967.7799999998,57.711423508021056,MIA-ORD
ORD,MIA,4,Chicago O'Hare,Miami,hub,spoke,1199.5,99,15840,11056,0.698,218.05,2410760.8,1134321.81,5.97,19000080.0,13261672.0,12.688161313004997,18.17840766986244,1276438.9899999998,52.94755871258566,ORD-MIA
MIA,ORD,4,Miami,Chicago O'Hare,spoke,hub,1199.5,91,6916,4693,0.679,169.43,795134.99,769155.45,9.27,8295742.0,5629253.5,9.584856785565414,14.125052105043768,25979.540000000037,3.267311881219067,MIA-ORD
ORD,PHX,1,Chicago O'Hare,Phoenix,hub,spoke,1437.8,77,14553,12713,0.874,159.97,2033698.61,1442732.06,6.89,20924303.4,18278751.4,9.719313332074893,11.126025872861318,590966.55,29.058708458280357,ORD-PHX
PHX,ORD,1,Phoenix,Chicago O'Hare,spoke,hub,1437.8,91,6916,6121,0.885,160.01,979421.21,865141.35,8.7,9943824.799999999,8800773.799999999,9.84954209973611,11.1288079009598,114279.85999999999,11.668101408585994,PHX-ORD
ORD,PHX,2,Chicago O'Hare,Phoenix,hub,spoke,1437.8,79,14931,12543,0.84,193.99,2433216.57,1395283.01,6.5,21467791.8,18034325.4,11.334265734773894,13.492140770621782,1037933.5599999998,42.65685072167661,ORD-PHX
PHX,ORD,2,Phoenix,Chicago O'Hare,spoke,hub,1437.8,84,13440,11188,0.833,198.85,2224733.8,1337836.4,6.92,19324032.0,16086106.4,11.512782632527205,13.830157184587563,886897.3999999999,39.86532680898721,PHX-ORD
ORD,PHX,3,Chicago O'Hare,Phoenix,hub,spoke,1437.8,86,12900,10579,0.82,144.59,1529617.61,1158605.0,6.25,18547620.0,15210486.2,8.246975137510905,10.056336068994298,371012.6100000001,24.255252265303096,ORD-PHX
PHX,ORD,3,Phoenix,Chicago O'Hare,spoke,hub,1437.8,79,12640,9858,0.78,197.03,1942321.74,1201363.37,6.61,18173792.0,14173832.4,10.687487454461897,13.703574906106553,740958.3699999999,38.148075817758176,PHX-ORD
ORD,PHX,4,Chicago O'Hare,Phoenix,hub,spoke,1437.8,85,13600,9662,0.71,188.19,1818291.78,1386347.49,7.09,19554080.0,13892023.6,9.298784601474475,13.088746696341632,431944.29000000004,23.755499241161395,ORD-PHX
PHX,ORD,4,Phoenix,Chicago O'Hare,spoke,hub,1437.8,75,5700,4550,0.798,198.66,903903.0,658979.31,8.04,8195460.0,6541990.0,11.02931379080613,13.816942551119766,244923.68999999994,27.096235989923688,PHX-ORD
ORD,IAH,1,Chicago O'Hare,Houston,hub,spoke,926.7,85,13600,9152,0.673,147.77,1352391.04,815333.15,6.47,12603120.0,8481158.4,10.730605120002032,15.945829286716304,537057.89,39.711730861511775,ORD-IAH
IAH,ORD,1,Houston,Chicago O'Hare,spoke,hub,926.7,75,12000,9023,0.752,139.04,1254557.92,811289.01,7.3,11120400.0,8361614.100000001,11.281589870867954,15.003776842559619,443268.9099999999,35.332677984289475,IAH-ORD
ORD,IAH,2,Chicago O'Hare,Houston,hub,spoke,926.7,72,10800,7754,0.718,165.57,1283829.78,725665.36,7.25,10008360.0,7185631.800000001,12.827573948179321,17.866623502751697,558164.42,43.47651290656305,ORD-IAH
IAH,ORD,2,Houston,Chicago O'Hare,spoke,hub,926.7,88,16632,11999,0.721,140.49,1685739.51,1070116.54,6.94,15412874.4,11119473.3,10.937216941182626,15.16024603431531,615622.97,36.51946023380563,IAH-ORD
ORD,IAH,3,Chicago O'Hare,Houston,hub,spoke,926.7,106,15900,14064,0.885,133.69,1880216.16,1146654.67,7.78,14734530.0,13033108.8,12.760611705972297,14.426459479874824,733561.49,39.014742326222745,ORD-IAH
IAH,ORD,3,Houston,Chicago O'Hare,spoke,hub,926.7,79,14931,14122,0.946,119.65,1689697.3,970344.31,7.01,13836557.700000001,13086857.4,12.211832860712168,12.911406064530054,719352.99,42.572891014266276,IAH-ORD
ORD,IAH,4,Chicago O'Hare,Houston,hub,spoke,926.7,68,10880,9254,0.851,141.09,1305646.86,698090.11,6.92,10082496.0,8575681.8,12.949639255993755,15.224991906765945,607556.7500000001,46.533007401404085,ORD-IAH
IAH,ORD,4,Houston,Chicago O'Hare,spoke,hub,926.7,72,13608,10646,0.782,141.11,1502257.06,876260.67,6.95,12610533.600000001,9865648.200000001,11.912716048748324,15.227150102514297,625996.39,41.67039095159919,IAH-ORD
ORD,BOS,1,Chicago O'Hare,Boston,hub,spoke,863.9,98,15680,11061,0.705,119.48,1321568.28,1014310.49,7.49,13545952.0,9555597.9,9.756186054697375,13.830304433383494,307257.79000000004,23.249482803869963,ORD-BOS
BOS,ORD,1,Boston,Chicago O'Hare,spoke,hub,863.9,95,17955,13346,0.743,122.95,1640890.7,1221602.51,7.88,15511324.5,11529609.4,10.578662705431762,14.231971292973721,419288.18999999994,25.552475250179675,BOS-ORD
ORD,BOS,2,Chicago O'Hare,Boston,hub,spoke,863.9,77,12320,11918,0.967,140.84,1678531.12,746624.06,7.01,10643248.0,10295960.2,15.770854160308959,16.302812825558515,931907.06,55.51920062107636,ORD-BOS
BOS,ORD,2,Boston,Chicago O'Hare,spoke,hub,863.9,85,16065,11791,0.734,121.77,1435790.07,986076.89,7.11,13878553.5,10186244.9,10.345387003047545,14.095381409885405,449713.18000000005,31.321652753873693,BOS-ORD
ORD,BOS,3,Chicago O'Hare,Boston,hub,spoke,863.9,65,4940,4655,0.942,138.67,645508.85,449738.56,10.54,4267666.0,4021454.5,15.125570979547135,16.051626345641857,195770.28999999998,30.328056695117343,ORD-BOS
BOS,ORD,3,Boston,Chicago O'Hare,spoke,hub,863.9,92,6992,6632,0.949,153.3,1016685.6,569107.61,9.42,6040388.8,5729384.8,16.831459590813093,17.74510938766061,447577.99,44.02324474744208,BOS-ORD
ORD,BOS,4,Chicago O'Hare,Boston,hub,spoke,863.9,61,4636,3270,0.705,149.49,488832.3,399548.87,9.98,4005040.4,2824953.0,12.205427440881744,17.30408612107883,89283.43,18.26463390410167,ORD-BOS
BOS,ORD,4,Boston,Chicago O'Hare,spoke,hub,863.9,79,14931,11968,0.802,125.24,1498872.32,898522.84,6.97,12898890.9,10339155.2,11.620164335214278,14.497048269475634,600349.4800000001,40.05341028647457,BOS-ORD
ORD,SFO,1,Chicago O'Hare,San Francisco,hub,spoke,1842.2,88,13200,9977,0.756,270.36,2697381.72,1456855.33,5.99,24317040.0,18379629.400000002,11.092557811312561,14.675930952122462,1240526.3900000001,45.99001990715649,ORD-SFO
SFO,ORD,1,San Francisco,Chicago O'Hare,spoke,hub,1842.2,88,13200,7485,0.567,204.87,1533451.95,1491033.57,6.13,24317040.0,13788867.0,6.306079810700645,11.120942351536206,42418.37999999989,2.766202097170367,SFO-ORD
ORD,SFO,2,Chicago O'Hare,San Francisco,hub,spoke,1842.2,77,12320,11705,0.95,255.04,2985243.2,1458750.71,6.43,22695904.0,21562951.0,13.1532244760993,13.844316578004563,1526492.4900000002,51.13461074126222,ORD-SFO
SFO,ORD,2,San Francisco,Chicago O'Hare,spoke,hub,1842.2,98,7448,6661,0.894,200.79,1337462.19,1188482.07,8.66,13720705.6,12270894.200000001,9.747765377314122,10.89946802735859,148980.11999999988,11.1390154513452,SFO-ORD
ORD,SFO,3,Chicago O'Hare,San Francisco,hub,spoke,1842.2,81,6156,5971,0.97,234.0,1397214.0,994970.85,8.77,11340583.200000001,10999776.200000001,12.320477486554658,12.702203886657257,402243.15,28.788943569131142,ORD-SFO
SFO,ORD,3,San Francisco,Chicago O'Hare,spoke,hub,1842.2,106,15900,13066,0.822,221.26,2890983.16,1853369.36,6.33,29290980.0,24070185.2,9.86987516293412,12.01063945282814,1037613.8,35.89138167100219,SFO-ORD
ORD,SFO,4,Chicago O'Hare,San Francisco,hub,spoke,1842.2,88,6688,4653,0.696,243.98,1135238.94,962297.55,7.81,12320633.6,8571756.6,9.214127916278592,13.24394745413093,172941.3899999999,15.233919830128439,ORD-SFO
SFO,ORD,4,San Francisco,Chicago O'Hare,spoke,hub,1842.2,96,15360,11742,0.764,256.7,3014171.4,1920423.95,6.79,28296192.0,21631112.400000002,10.652215676229508,13.934426229508196,1093747.45,36.28683657472166,SFO-ORD
ORD,LAS,1,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,70,10500,9873,0.94,158.18,1561711.14,1094758.66,6.9,15867600.0,14920077.6,9.842138319594646,10.467178401270512,466952.48,29.900054372411024,ORD-LAS
LAS,ORD,1,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,78,12480,12105,0.97,148.0,1791540.0,1200241.62,6.36,18859776.0,18293076.0,9.49926446634361,9.793541556379036,591298.3799999999,33.005033658193504,LAS-ORD
ORD,LAS,2,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,84,13440,10181,0.758,189.0,1924209.0,1171825.62,5.77,20310528.0,15385527.200000001,9.473948683165696,12.506617257808363,752383.3799999999,39.100917831690836,ORD-LAS
LAS,ORD,2,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,78,11700,8015,0.685,201.84,1617747.6,1051113.22,5.95,17681040.0,12112268.0,9.149617895779887,13.35627316040233,566634.3800000001,35.02613015775762,LAS-ORD
ORD,LAS,3,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,74,11840,8915,0.753,190.22,1695811.3,1196684.62,6.69,17892608.0,13472348.0,9.47772007300445,12.58734780307041,499126.67999999993,29.432913909702098,ORD-LAS
LAS,ORD,3,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,65,12285,10203,0.831,190.7,1945712.1,1267299.55,6.83,18565092.0,15418773.6,10.480487249941989,12.619110640550558,678412.55,34.86705715609211,LAS-ORD
ORD,LAS,4,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,79,12640,9053,0.716,163.79,1482790.87,1314116.94,6.88,19101568.0,13680893.6,7.762665714144515,10.838406564319747,168673.93000000017,11.375436240715466,ORD-LAS
LAS,ORD,4,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,99,15840,11884,0.75,159.13,1891100.92,1558630.84,6.51,23937408.0,17959100.8,7.900190864441129,10.530042350449973,332470.07999999984,17.5807687725095,LAS-ORD
ORD,MSP,1,Chicago O'Hare,Minneapolis,hub,spoke,333.7,74,5624,3473,0.618,66.39,230572.47,256046.42,13.64,1876728.8,1158940.0999999999,12.285870499775992,19.895115373089602,-25473.95000000001,-11.048131635142743,ORD-MSP
MSP,ORD,1,Minneapolis,Chicago O'Hare,spoke,hub,333.7,84,13440,11150,0.83,64.00486069079463,713654.2,430393.66,9.6,4484928.0,3720755.0,15.91227774448107,19.18035990007404,283260.54,39.69156770884274,MSP-ORD
ORD,MSP,2,Chicago O'Hare,Minneapolis,hub,spoke,333.7,88,13200,9099,0.689,64.00486069079463,582380.23,416169.1,9.45,4404840.0,3036336.3,13.221370810290498,19.180359896234155,166211.13,28.539967780156278,ORD-MSP
MSP,ORD,2,Minneapolis,Chicago O'Hare,spoke,hub,333.7,71,10650,8015,0.753,64.00486069079463,512998.96,321293.91,9.04,3553905.0,2674605.5,14.43479665325888,19.18035986989483,191705.05000000005,37.36948121688201,MSP-ORD
ORD,MSP,3,Chicago O'Hare,Minneapolis,hub,spoke,333.7,68,12852,11764,0.915,64.00486069079463,752953.18,391704.69,9.13,4288712.399999999,3925646.8,17.55662562031439,19.18035978173075,361248.49000000005,47.977550211023754,ORD-MSP
MSP,ORD,3,Minneapolis,Chicago O'Hare,spoke,hub,333.7,85,12750,10952,0.859,64.00486069079463,700981.23,348692.28,8.2,4254675.0,3654682.4,16.475552891819,19.180359694183004,352288.94999999995,50.25654538567316,MSP-ORD
ORD,MSP,4,Chicago O'Hare,Minneapolis,hub,spoke,333.7,68,10200,8035,0.788,64.00486069079463,514279.06,414476.13,12.18,3403740.0,2681279.5,15.109234547879685,19.18035997366183,99802.93,19.406376374725426,ORD-MSP
MSP,ORD,4,Minneapolis,Chicago O'Hare,spoke,hub,333.7,60,4560,3934,0.863,64.00486069079463,251795.12,170741.08,11.22,1521672.0,1312775.8,16.547266427981853,19.180359662327717,81054.04000000001,32.19047295277208,MSP-ORD
ORD,DTW,1,Chicago O'Hare,Detroit,hub,spoke,233.8,82,12300,10132,0.824,62.50688006219597,633319.71,323598.45,11.25,2875740.0,2368861.6,22.022843163846524,26.7351925498729,309721.25999999995,48.90440880167775,ORD-DTW
DTW,ORD,1,Detroit,Chicago O'Hare,spoke,hub,233.8,96,15360,10519,0.685,62.50688006219597,657509.87,372808.48,10.38,3591168.0,2459342.2,18.309081335097662,26.735192442922333,284701.39,43.29994164194068,DTW-ORD
