origin,dest,route,origin_city,dest_city,origin_tier,dest_tier,distance_miles,departures,seats,passengers,revenue,op_cost,asm,rpm,load_factor,rasm_cents,yield_cents_per_mile,operating_profit,operating_margin_pct,seasonality_index,q1_to_q4_growth_pct,network_value,score_margin,score_load_factor,score_growth,score_network_value,route_health_score,recommendation
JFK,BOS,JFK-BOS,New York JFK,Boston,spoke,spoke,186.2,209,34534,31207,1928365.68,681600.54,6430230.8,5810743.399999999,0.9036601610007527,29.98905855758708,33.18621297233673,1246765.14,64.65397890715417,0.4875829140897875,2.2284122562674096,0.30779999999999996,0.9647382550322713,1.0,0.18971642687229406,0.042476601871850095,68.02100776681449,EXPAND
SEA,PDX,SEA-PDX,Seattle-Tacoma,Portland,hub,spoke,129.3,328,44910,36198,2205862.08,737371.69,5806863.000000001,4680401.4,0.8060120240480962,37.98715554336308,47.1297628446996,1468490.39,66.57217617159455,0.7135200839825405,-3.629929221435794,0.4798,1.0,0.5717286082787324,0.174421272892728,0.4552435805135588,64.61029437252625,EXPAND
SEA,DEN,SEA-DEN,Seattle-Tacoma,Denver,hub,hub,1022.5,340,54003,46656,6528087.99,3694151.55,55218067.5,47705760.0,0.8639520026665185,11.82237677912216,13.684066641009387,2833936.4400000004,43.41143140749854,0.6491769547325102,41.69334756314479,0.6872,0.574241768417664,0.8258454409556627,0.29275280066676895,0.9529637628989679,63.765319217418025,EXPAND
SEA,BOS,SEA-BOS,Seattle-Tacoma,Boston,hub,spoke,2488.9,332,40321,34946,11286205.420000002,6094712.42,100354936.9,86977099.4,0.8666947744351579,11.24628819332156,12.976065536625612,5191493.000000002,45.998569109864754,1.3563784124077147,121.89582483340133,0.4859,0.6218004796870431,0.8378748633203565,0.5021481123023346,0.4698824094072473,62.91008915764604,EXPAND
GEG,ATL,GEG-ATL,Spokane,Atlanta,spoke,hub,1965.1,333,42846,37743,9201039.14,5068593.01,84196674.6,74168769.3,0.8808990337487747,10.92803152109288,12.405543771103131,4132446.130000001,44.91281981439327,0.8763479320668733,77.01178557850716,0.5006,0.601841419445668,0.9001728046273356,0.38496336056989644,0.5051595872330213,61.85463791340335,EXPAND
DFW,MCI,DFW-MCI,Dallas/Fort Worth,Kansas City,hub,spoke,460.9,319,48634,42023,3143899.1,2145872.25,22415410.6,19368400.7,0.8640662910720894,14.025614592132436,16.232104801507955,998026.85,31.744875336489013,1.0418104371415653,289.01505149194617,0.4768,0.3597783592293171,0.8263466942927867,0.9384685819125471,0.44804415646748247,60.53983571175553,EXPAND
PHX,DFW,PHX-DFW,Phoenix,Dallas/Fort Worth,spoke,hub,865.9,329,47729,42228,5046826.11,3107329.81,41328541.1,36565225.2,0.8847451235098158,12.211478982015167,13.802256330695318,1939496.3000000005,38.43002032816225,0.7540968078052477,136.71646917396532,0.488,0.48266972297935506,0.9170412290136055,0.5408423465199999,0.47492200623950065,60.17349666850686,EXPAND
SEA,ATL,SEA-ATL,Seattle-Tacoma,Atlanta,hub,hub,2177.8,344,50801,43820,12215851.6,6812666.340000001,110634417.8,95431196.0,0.8625814452471408,11.041637713575964,12.800690038506904,5403185.259999999,44.23093401036403,1.235782747603834,-51.80062008108752,0.7068000000000001,0.5893064816869029,0.8198343633073979,0.0486556211626913,1.0,60.04123077341489,EXPAND
ORD,DEN,ORD-DEN,Chicago O'Hare,Denver,hub,hub,886.2,327,43510,36321,4618222.91,2874040.31,38558562.0,32187670.200000003,0.8347736152608596,11.977165823766976,14.347801134112526,1744182.6,37.76739741650972,0.777511632388976,120.30386740331491,0.6689,0.4704888901976537,0.6978730190295535,0.4979917765689603,0.9090472762179025,59.86192575829272,EXPAND
ORD,DTW,ORD-DTW,Chicago O'Hare,Detroit,hub,spoke,233.8,327,36766,32868,2054476.14,1022151.38,8595890.8,7684538.4,0.8939781319697546,23.9006775190769,26.735192578385707,1032324.76,50.24759060964319,0.8086893026652063,-52.60560600078957,0.48019999999999996,0.6999091889762801,0.9575359430584766,0.04655393698465452,0.4562035037197022,59.70889743100175,EXPAND
DFW,SEA,DFW-SEA,Dallas/Fort Worth,Seattle-Tacoma,hub,hub,1657.8,326,49814,42212,7824154.66,5171775.83,82581649.2,69979053.6,0.8473922993535954,9.474447090601334,11.180709451606532,2652378.83,33.89987730636194,0.951293471050886,118.7631173919127,0.6924,0.39939322641493025,0.7532168439783813,0.49396913487794475,0.9654427645788335,59.167174322298145,EXPAND
SEA,GEG,SEA-GEG,Seattle-Tacoma,Spokane,hub,spoke,223.3,333,46418,37052,2310146.92,1155036.41,10365139.4,8273711.600000001,0.7982248265758973,22.28765895806476,27.921530646535945,1155110.51,50.001603794099815,0.7295692540213754,123.15087306258583,0.504,0.6953872743036279,0.5375750237546988,0.5054248342193173,0.513318934485241,59.06314726767754,EXPAND
DTW,ORD,DTW-ORD,Detroit,Chicago O'Hare,spoke,hub,233.8,357,56190,46114,2882442.27,1285725.98,13137222.0,10781453.2,0.8206798362697989,21.94103342396132,26.735192524881523,1596716.29,55.394562681042,0.2908444290237238,12.995531894666792,0.48019999999999996,0.7945247011043487,0.6360596293277102,0.21782758314621856,0.4562035037197022,58.882082996086616,EXPAND
SEA,JFK,SEA-JFK,Seattle-Tacoma,New York JFK,hub,spoke,2415.1,356,55300,46437,14408811.2,7304828.69,133555030.0,112149998.7,0.8397287522603978,10.788669808991845,12.847803269747162,7103982.509999999,49.30304389025515,0.2340375131899132,16.854365193955147,0.5321,0.6825458206999298,0.7196055731282627,0.22790235425997618,0.5807535397168225,58.561322337155616,EXPAND
ATL,DFW,ATL-DFW,Atlanta,Dallas/Fort Worth,hub,hub,729.8,333,47208,38525,4297379.640000001,2781841.11,34452398.4,28115545.0,0.8160693102863922,12.473383101247316,15.28471043332079,1515538.5300000007,35.26657305054856,1.015029201817002,155.60585885486017,0.6890000000000001,0.42451685560228,0.6158384920781793,0.5901593972328895,0.9572834173266138,58.539075730602676,EXPAND
BOI,SLC,BOI-SLC,Boise,Salt Lake City,spoke,spoke,289.4,236,40619,35713,2262439.99,1154424.69,11755138.6,10335342.2,0.879219084664812,19.246391446205493,21.890324927993195,1108015.3000000005,48.97435091748003,0.7043933581608938,103.11526479750779,0.2901,0.6765035392341275,0.8928047773954554,0.45311519766860187,0.0,58.44256495762353,EXPAND
ATL,STL,ATL-STL,Atlanta,St. Louis,hub,spoke,483.9,339,47940,40962,3595791.06,2292670.65,23198166.0,19821511.8,0.8544430538172716,15.50032472394585,18.140851698304868,1303120.41,36.24015934896952,0.7775987500610322,177.2707034728406,0.4994,0.44241405126375466,0.7841404900517066,0.6467226985762072,0.5022798176145907,57.768725537585865,EXPAND
BOS,ATL,BOS-ATL,Boston,Atlanta,spoke,hub,945.0,305,31655,26476,4216878.58,2463177.08,29913975.0,25019820.0,0.8363923550781867,14.096684175205738,16.85415234801849,1753701.5,41.5876688581344,1.1009215893639523,139.30368283356813,0.48250000000000004,0.5407159934155112,0.7049725907780388,0.5475971305236759,0.46172306215502756,57.13074304887035,EXPAND
FAR,SEA,FAR-SEA,Fargo,Seattle-Tacoma,spoke,hub,1192.2,352,54548,46250,7240822.9,4584969.640000001,65032125.6,55139250.0,0.8478770990687101,11.134224559315342,13.131885000249367,2655853.26,36.67888714692912,1.081772972972973,165.2131211942644,0.5031,0.4504790756534219,0.7553431093140828,0.615242359255937,0.5111591072714181,56.87497455317896,EXPAND
SEA,DFW,SEA-DFW,Seattle-Tacoma,Dallas/Fort Worth,hub,hub,1657.8,328,52242,43235,8999304.48,5327146.11,86606787.6,71674983.0,0.827590827303702,10.390992125887372,12.555712053674291,3672158.37,40.80491307034874,0.3701630623337574,18.37331772966647,0.6924,0.5263267877417329,0.6663702920871842,0.23186808637200482,0.9654427645788335,56.831332007971525,EXPAND
ATL,DEN,ATL-DEN,Atlanta,Denver,hub,hub,1196.8,316,51418,44459,7043047.449999999,4312605.09,61537062.4,53208531.2,0.8646582908709013,11.44521232459741,13.236688348954088,2730442.3599999994,38.76791089913784,0.6308733889651139,-25.7177255047231,0.6838,0.4888810816136389,0.8289431245540092,0.11675371518753642,0.944804415646748,56.78596191684774,EXPAND
STL,SEA,STL-SEA,St. Louis,Seattle-Tacoma,spoke,hub,1705.3,351,56653,50357,10809993.62,6267847.31,96610360.9,85873792.1,0.8888673150583376,11.189269473063316,12.588233680669145,4542146.31,42.01802951665387,0.3211470103461286,-1.0822982494370597,0.5028,0.548627206754294,0.9351205981293012,0.18107271309097148,0.5104391648668106,56.60114495822588,EXPAND
BOI,DEN,BOI-DEN,Boise,Denver,spoke,hub,647.6,329,54126,46352,5653787.66,2924535.04,35051997.6,30017555.200000003,0.8563721686435355,16.129715985145452,18.834937163703454,2729252.62,48.272994744907,0.4084397652744218,3.459488754403396,0.4673,0.6636106825153335,0.792601324197828,0.19293056259164054,0.4252459803215741,56.59676136221547,EXPAND
DFW,JFK,DFW-JFK,Dallas/Fort Worth,New York JFK,hub,spoke,1388.7,316,43540,37142,6244334.48,3895711.02,60463998.0,51579095.400000006,0.8530546623794212,10.327359563619993,12.106328022185512,2348623.460000001,37.612070069635365,0.8274190942867913,122.21975088967972,0.5143,0.4676335460714095,0.778051194834222,0.5029938292902616,0.5380369570434363,56.287052655168715,EXPAND
ORD,GEG,ORD-GEG,Chicago O'Hare,Spokane,hub,spoke,1493.9,379,63337,54398,9222962.86,5298989.92,94619144.3,81265172.2,0.8588660656488308,9.747459595235425,11.34921961071043,3923972.94,42.54568731940009,0.5620794882164786,54.630515683147266,0.4857,0.558327009384394,0.8035392158422449,0.32652959213720223,0.46940244780417556,55.993189331238554,EXPAND
JFK,SEA,JFK-SEA,New York JFK,Seattle-Tacoma,spoke,hub,2415.1,322,45752,38479,11325946.74,6222070.140000001,110495655.2,92930632.9,0.8410342717258262,10.25012858605141,12.187527822163364,5103876.6,45.063575850790194,0.6823462148184725,22.913205980066444,0.5321,0.6046127303042125,0.7253314031935032,0.24372097854364966,0.5807535397168225,55.903516958631414,EXPAND
DFW,SFO,DFW-SFO,Dallas/Fort Worth,San Francisco,hub,spoke,1461.5,302,44093,37670,6594401.69,4372076.38,64441919.5,55054705.0,0.8543306193726895,10.233093211942576,11.977907592094082,2222325.3100000005,33.70018106980074,1.0483674011149455,183.00278035217795,0.4854,0.39572225998453525,0.7836473679342624,0.661688196716911,0.4686825053995679,55.684076113069715,EXPAND
DFW,DEN,DFW-DEN,Dallas/Fort Worth,Denver,hub,hub,640.9,325,45619,38470,3594597.86,2263331.8600000003,29237217.1,24655423.0,0.8432889804686644,12.29459646485985,14.579339644669654,1331265.9999999995,37.035185905329605,1.0119053808162204,23.262548262548265,0.6694,0.45702882743544293,0.7352202477875336,0.24463305306550345,0.9102471802255817,55.208028056799854,EXPAND
DFW,LAX,DFW-LAX,Dallas/Fort Worth,Los Angeles,hub,spoke,1232.3,321,40938,34183,5775068.48,3547183.71,50447897.4,42123710.9,0.8349943817480092,11.447590043663546,13.709780920559874,2227884.7700000005,38.57763380149564,1.1578854986396747,151.48538572113083,0.47619999999999996,0.48538326487985456,0.6988412706895194,0.579401528083588,0.4466042716582671,55.17345699897793,EXPAND
IAH,DFW,IAH-DFW,Houston,Dallas/Fort Worth,spoke,hub,225.3,379,42938,33818,2109531.0,1218063.3,9673931.4,7619195.4,0.7876007266290931,21.806346487013545,27.687057349913875,891467.7,42.25904715313498,1.0841563664320777,195.47878012369375,0.46799999999999997,0.5530577742396465,0.4909791724461407,0.6942609544301024,0.4269258459323252,54.685897058326304,EXPAND
BOI,ATL,BOI-ATL,Boise,Atlanta,spoke,hub,1834.4,318,42520,35104,7941735.24,4795087.96,77998688.0,64394777.6,0.8255879586077141,10.181883110649247,12.332887131517944,3146647.2800000003,39.62165930880365,1.0512762078395623,139.58896700919416,0.4869,0.5045753270629059,0.6575859835418854,0.5483419599964441,0.47228221742260607,54.67373513233134,EXPAND
ORD,BOI,ORD-BOI,Chicago O'Hare,Boise,hub,spoke,1433.6,328,48577,39885,7717569.279999999,4548724.86,69639987.19999999,57179136.0,0.8210675834242542,11.08209462738098,13.497177152169629,3168844.419999999,41.06013571153843,0.7649993731979441,137.42170135380886,0.472,0.5310184823085305,0.6377602353879678,0.542683590295752,0.4365250779937603,54.58629315286186,EXPAND
STL,ORD,STL-ORD,St. Louis,Chicago O'Hare,spoke,hub,258.3,356,60667,48876,3073027.3,1505085.93,15670286.1,12624670.8,0.8056439250333789,19.610537295805976,24.341445006233347,1567941.37,51.022695763229954,0.3700793845650217,19.744359446112135,0.4845,0.7141577549374678,0.5701141762757884,0.2354476479672546,0.46652267818574494,54.52595773652469,EXPAND
DFW,IAH,DFW-IAH,Dallas/Fort Worth,Houston,hub,spoke,225.3,338,55493,44895,2800502.52,1358428.53,12502572.9,10114843.5,0.8090209575982557,22.39940964471401,27.687057343002884,1442073.99,51.49340090577744,0.2753090544604076,12.91573148337074,0.46799999999999997,0.7228106109284549,0.5849253798643322,0.21761923756188356,0.4269258459323252,54.291831373969046,EXPAND
ORD,ATL,ORD-ATL,Chicago O'Hare,Atlanta,hub,hub,606.4,323,52936,45187,4112357.01,2738133.43,32100390.4,27401396.8,0.8536156868671604,12.810925221644656,15.007837155221225,1374223.58,33.416932835799685,0.1966052183150021,17.385943279901355,0.6885,0.39051537789005025,0.7805117716117419,0.22929021611604158,0.9560835133189343,54.060466428000396,EXPAND
GEG,ORD,GEG-ORD,Spokane,Chicago O'Hare,spoke,hub,1493.9,345,58658,49676,9406399.75,5003414.14,87629186.2,74210976.4,0.8468751065498312,10.734322841400529,12.675213568541594,4402985.61,46.808404139958014,0.3450358321926081,-20.289259594050456,0.4857,0.6366874763617112,0.7509485069801681,0.13092653565089998,0.46940244780417556,53.90077915905328,EXPAND
DFW,PHX,DFW-PHX,Dallas/Fort Worth,Phoenix,hub,spoke,865.9,319,55767,48214,6360533.17,3656556.92,48288645.3,41748502.6,0.8645614790108845,13.171902277407646,15.23535641731016,2703976.25,42.511786004882985,0.233791015057867,1.235839340885685,0.488,0.5577038099206403,0.8285185209587086,0.18712498428833219,0.47492200623950065,53.88744520015247,EXPAND
GEG,SEA,GEG-SEA,Spokane,Seattle-Tacoma,spoke,hub,223.3,352,61685,49221,3068869.21,1503900.63,13774260.5,10991049.3,0.7979411526302991,22.279738429514964,27.921530749570923,1564968.5799999998,50.9949584980847,0.1677332845736575,8.13321647677476,0.504,0.7136478676658167,0.5363308685739877,0.20513288733565035,0.513318934485241,53.756628184973984,EXPAND
ATL,GEG,ATL-GEG,Atlanta,Spokane,hub,spoke,1965.1,342,43409,37106,8294979.34,5694104.21,85303025.9,72917000.6,0.8547996959155936,9.724132587892171,11.375919568474409,2600875.13,31.3548114274146,1.0471621840133671,167.40834922653104,0.5006,0.35260791104972905,0.7857046735841462,0.6209737340659526,0.5051595872330213,53.743801771407185,EXPAND
DFW,STL,DFW-STL,Dallas/Fort Worth,St. Louis,hub,spoke,550.1,331,55454,49313,4505337.73,2631158.22,30505245.4,27127081.3,0.8892595664875392,14.769059127123104,16.608265666973914,1874179.51,41.59909028617928,0.5819966337476933,-46.669702094445164,0.485,0.5409259506969399,0.9368409593233943,0.06205159354854613,0.46772258219342433,53.314932614834746,EXPAND
ATL,IAH,ATL-IAH,Atlanta,Houston,hub,spoke,688.2,370,63500,54639,5730251.8,3188053.89,43700700.0,37602559.8,0.8604566929133858,13.112494307871495,15.238993915515293,2542197.91,44.36450611123232,0.3551309504200296,-23.558669001751316,0.48240000000000005,0.5917619045169399,0.8105154897739331,0.12239065215838775,0.4614830813534917,53.30342268849606,EXPAND
BOS,JFK,BOS-JFK,Boston,New York JFK,spoke,spoke,186.2,241,37930,30373,1884773.05,758235.61,7062566.0,5655452.6,0.8007645663063538,26.68680264368503,33.32665275985162,1126537.44,59.77045565247232,0.030948539821552,-0.8704690139015201,0.30779999999999996,0.8749656572172065,0.5487139753303931,0.18162576394797955,0.042476601871850095,52.986139978985435,EXPAND
MIA,JFK,MIA-JFK,Miami,New York JFK,spoke,spoke,1092.0,263,43820,39161,6384076.25,3566900.94,47851440.0,42763812.0,0.8936786855317207,13.341450643909566,14.928688420012698,2817175.31,44.12815887028292,0.1706800132785169,4.494616912302707,0.3365,0.5874171917552857,0.9562226118801772,0.19563310982687984,0.11135109191264696,52.98518154244316,EXPAND
ORD,STL,ORD-STL,Chicago O'Hare,St. Louis,hub,spoke,258.3,329,42080,32700,2078136.68,1310429.17,10869264.0,8446410.0,0.7770912547528517,19.119387292460647,24.6037864607567,767707.5100000002,36.94210863936053,1.2842813455657491,247.6179245283019,0.4845,0.45531781112041725,0.44488606419896914,0.8303875774797317,0.46652267818574494,52.940455772171724,EXPAND
STL,DFW,STL-DFW,St. Louis,Dallas/Fort Worth,spoke,hub,550.1,348,47063,39268,3556837.49,2094504.82,25889356.3,21601326.8,0.8343709495782249,13.738609213702237,16.46582880270114,1462332.6700000002,41.113283193604666,0.6978710400325965,66.17522453821387,0.485,0.5319954793009871,0.6961069823423,0.35667090436004867,0.46772258219342433,52.83175055069933,EXPAND
JFK,DEN,JFK-DEN,New York JFK,Denver,spoke,hub,1621.5,320,53252,45020,9797143.12,5352446.5600000005,86348118.0,72999930.0,0.8454142567415308,11.346099193499503,13.420756869218916,4444696.5600000005,45.367271923654414,0.44247001332741,-35.83765112262521,0.5091,0.6101954999533825,0.7445414192463806,0.0903322747206941,0.5255579553635708,52.711370304162266,EXPAND
LAS,PHX,LAS-PHX,Las Vegas,Phoenix,spoke,spoke,255.5,236,33717,29592,1859340.85,982606.49,8614693.5,7560756.0,0.8776581546400926,21.58336625673333,24.591996488181877,876734.3600000001,47.15296606321536,1.17558799675588,3.849407783417936,0.303,0.6430214728117767,0.8859587515015847,0.19394857624124404,0.030957523398128066,52.21316207580748,EXPAND
DFW,TUL,DFW-TUL,Dallas/Fort Worth,Tulsa,hub,spoke,237.2,351,53640,42981,2688812.19,1373490.77,12723408.0,10195093.2,0.8012863534675615,21.13279861810609,26.37359107222286,1315321.42,48.918307678454845,0.3407086852330099,15.913006029285098,0.47829999999999995,0.6754733102590862,0.5510024625528481,0.2254446222502421,0.4516438684905205,52.0775444465473,MAINTAIN
JFK,LAX,JFK-LAX,New York JFK,Los Angeles,spoke,spoke,2469.6,248,33044,27916,9303977.34,5017842.23,81605462.4,68941353.6,0.844812976637211,11.40116980698586,13.495495597579913,4286135.11,46.0677724522489,0.8747671586187132,75.93032462391133,0.31589999999999996,0.6230726275809544,0.7419042868327207,0.3821398461185133,0.06191504679625613,52.042034898370304,MAINTAIN
PHX,LAS,PHX-LAS,Phoenix,Las Vegas,spoke,spoke,255.5,245,32688,26941,1769733.86,840137.38,8351784.0,6883425.5,0.8241862457170828,21.18989020788852,25.71007502006087,929596.48,52.527473255215895,0.5555844252254928,32.6442721791559,0.303,0.7418197066768615,0.6514382622519711,0.2691271718266634,0.030957523398128066,51.805651110878934,MAINTAIN
SLC,SEA,SLC-SEA,Salt Lake City,Seattle-Tacoma,spoke,hub,687.6,340,51740,44672,4878112.12,2952989.99,35576424.0,30716467.2,0.8633938925396212,13.711642631648422,15.881097550176603,1925122.13,39.46449123436712,0.1327901146131805,-11.561849229487715,0.51,0.5016861452980331,0.8233976461667469,0.15371235069375788,0.5277177825773937,51.64240071862606,MAINTAIN
PDX,SEA,PDX-SEA,Portland,Seattle-Tacoma,spoke,hub,129.3,312,37945,27573,1680265.0699999998,678254.66,4906288.5,3565188.9000000004,0.726657003557781,34.24717217505656,47.129762745530805,1002010.4099999998,59.63406773670536,0.6082762122366083,-0.8462309319674869,0.4798,0.8724584719596686,0.2236883268554987,0.1816890455434211,0.4552435805135588,50.95298166834602,MAINTAIN
DEN,ATL,DEN-ATL,Denver,Atlanta,hub,hub,1196.8,328,47666,37823,5978627.050000001,4269527.91,57046668.8,45266566.39999999,0.7935006084001175,10.480238681351366,13.207600057776864,1709099.1400000006,28.58681643304713,1.2104803955265315,154.88384371700107,0.6838,0.3017245449993606,0.5168552480776976,0.5882743359487079,0.944804415646748,50.92791595559224,MAINTAIN
BOS,DEN,BOS-DEN,Boston,Denver,spoke,hub,1749.3,298,38585,32013,5604567.2,4328516.25,67496740.5,56000340.9,0.8296747440715304,8.303463483544068,10.00809479000868,1276050.9500000002,22.768055131893146,1.2974729016337112,312.5827814569536,0.4629,0.19475969793539583,0.6755100664058878,1.0,0.4146868250539955,50.898441953372966,MAINTAIN
