origin,dest,quarter,origin_city,dest_city,origin_tier,dest_tier,distance_miles,departures,seats,passengers,load_factor,avg_fare,revenue,op_cost,casm_cents
ORD,LAX,1,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,91,13650,9692,0.71,228.84,2217917.28,1385781.8,5.83
LAX,ORD,1,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,72,11520,6863,0.596,193.36,1327029.68,1267661.72,6.32
ORD,LAX,2,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,82,12300,8450,0.687,288.42,2437149.0,1331017.78,6.21
LAX,ORD,2,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,71,13419,10090,0.752,203.33,2051599.7,1673017.54,7.16
ORD,LAX,3,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,75,11250,9255,0.823,299.29,2769928.95,1227715.97,6.27
LAX,ORD,3,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,102,15300,13913,0.909,197.81,2752130.53,1533062.12,5.75
ORD,LAX,4,Chicago O'Hare,Los Angeles,hub,spoke,1741.6,77,5852,5072,0.867,236.52,1199629.44,864105.59,8.48
LAX,ORD,4,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,64,4864,3939,0.81,239.23,942326.97,654346.79,7.72
ORD,JFK,1,Chicago O'Hare,New York JFK,hub,spoke,737.8,91,17199,10901,0.634,94.85,1033959.85,1077807.23,8.49
JFK,ORD,1,New York JFK,Chicago O'Hare,spoke,hub,737.8,85,12750,6775,0.531,122.24,828176.0,715854.98,7.61
ORD,JFK,2,Chicago O'Hare,New York JFK,hub,spoke,737.8,100,15000,9614,0.641,103.3,993126.2,848861.19,7.67
JFK,ORD,2,New York JFK,Chicago O'Hare,spoke,hub,737.8,95,17955,13603,0.758,117.91,1603929.73,1124785.83,8.49
ORD,JFK,3,Chicago O'Hare,New York JFK,hub,spoke,737.8,74,13986,12445,0.89,74.42,926156.9,778330.53,7.54
JFK,ORD,3,New York JFK,Chicago O'Hare,spoke,hub,737.8,78,11700,11349,0.97,114.07,1294580.43,670372.68,7.77
ORD,JFK,4,Chicago O'Hare,New York JFK,hub,spoke,737.8,77,12320,9633,0.782,100.71,970139.43,740776.06,8.15
JFK,ORD,4,New York JFK,Chicago O'Hare,spoke,hub,737.8,75,11250,9827,0.874,125.47,1232993.69,596430.94,7.19
ORD,MIA,1,Chicago O'Hare,Miami,hub,spoke,1199.5,88,6688,5060,0.757,156.07,789714.2,805508.62,10.04
MIA,ORD,1,Miami,Chicago O'Hare,spoke,hub,1199.5,74,11100,8869,0.799,188.22,1669323.18,882446.94,6.63
ORD,MIA,2,Chicago O'Hare,Miami,hub,spoke,1199.5,95,15200,10130,0.666,152.8,1547864.0,1084771.19,5.95
MIA,ORD,2,Miami,Chicago O'Hare,spoke,hub,1199.5,78,14742,11484,0.779,163.87,1881883.08,1231433.39,6.96
