customer_id,age,age_segment,annual_income,income_segment,credit_score,credit_score_segment,employment_years,account_tenure,loan_amount,interest_rate,credit_utilization,utilization_segment,late_payments,missed_payments_6m,payment_history_score,payment_history_segment,transaction_count,avg_monthly_spend,monthly_debt_payment,dti,dti_segment,default,default_probability,risk_score,ml_risk_tier
C00001,27,26-35,95473,Upper-Middle Income,725,Good,1,12,34200,13.21,37.64,Moderate Utilization,0,0,100,Strong,60,6891.91,4086.24,51.36,High DTI,1,0.43013727,43.01,Medium Risk
C00002,27,26-35,132927,High Income,635,Fair,39,11,34700,10.87,28.49,Low Utilization,9,2,35,Weak,78,2678.64,5014.67,45.27,High DTI,1,0.615117113,61.51,High Risk
C00003,55,51-65,147426,High Income,749,Very Good,36,12,146000,3.68,30.99,Moderate Utilization,10,0,50,Weak,145,2711.82,782.59,6.37,Low DTI,0,0.168652981,16.87,Low Risk
C00004,56,51-65,141603,High Income,567,Poor,38,14,136800,8.1,76.49,High Utilization,3,0,85,Strong,75,8798.95,6569.2,55.67,High DTI,1,0.796101699,79.61,High Risk
C00005,41,36-50,67315,Middle Income,646,Fair,30,14,49600,13.02,75.08,High Utilization,2,0,90,Strong,130,7767.98,2303.29,41.06,High DTI,1,0.621998433,62.2,High Risk
C00006,33,26-35,119864,Upper-Middle Income,523,Poor,27,9,78100,11.19,75.83,High Utilization,10,2,30,Weak,62,1662.8,5480.78,54.87,High DTI,1,0.914023126,91.4,High Risk
C00007,35,26-35,129788,High Income,715,Good,7,12,50500,11.54,66,Moderate Utilization,0,0,100,Strong,6,8137.23,1883.01,17.41,Low DTI,0,0.261538249,26.15,Low Risk
C00008,38,36-50,56420,Middle Income,621,Fair,37,0,28600,11.68,66.87,Moderate Utilization,7,3,35,Weak,30,8008.98,439.61,9.35,Low DTI,1,0.52622006,52.62,Medium Risk
C00009,60,51-65,113563,Upper-Middle Income,598,Fair,2,19,65600,12.06,57.74,Moderate Utilization,8,2,40,Weak,18,8380.8,3251.69,34.36,Moderate DTI,1,0.697705916,69.77,High Risk
C00010,54,51-65,122275,High Income,722,Good,17,20,160300,12.52,25.02,Low Utilization,8,0,60,Moderate,122,3012.91,2958.04,29.03,Moderate DTI,1,0.285871689,28.59,Low Risk
C00011,73,66-75,141323,High Income,583,Fair,12,18,36100,5.61,78.9,High Utilization,5,2,55,Weak,75,2852.71,6529.12,55.44,High DTI,1,0.870525587,87.05,High Risk
C00012,24,18-25,34271,Low Income,774,Very Good,1,5,35100,14.97,43.55,Moderate Utilization,1,1,85,Strong,143,1371.91,183.64,6.43,Low DTI,0,0.139609167,13.96,Low Risk
C00013,50,36-50,129419,High Income,691,Good,19,12,179000,14.19,33.59,Moderate Utilization,5,3,45,Weak,40,8896.51,4720.56,43.77,High DTI,1,0.5736364,57.36,Medium Risk
C00014,26,26-35,32729,Low Income,797,Very Good,14,11,12500,5.44,44.85,Moderate Utilization,4,2,60,Moderate,72,4948.16,171.83,6.3,Low DTI,0,0.188902532,18.89,Low Risk
C00015,37,36-50,88489,Upper-Middle Income,747,Very Good,9,8,111400,14.35,49.48,Moderate Utilization,0,0,100,Strong,102,4156.22,1266.13,17.17,Low DTI,0,0.184130263,18.41,Low Risk
C00016,71,66-75,146603,High Income,666,Fair,18,6,72200,14.47,78.61,High Utilization,2,0,90,Strong,129,1842.83,6743.74,55.2,High DTI,0,0.753212319,75.32,High Risk
C00017,36,36-50,63973,Middle Income,586,Fair,27,6,74900,13.62,55.71,Moderate Utilization,8,2,40,Weak,82,5464.85,2982.21,55.94,High DTI,1,0.848343619,84.83,High Risk
C00018,32,26-35,50745,Middle Income,706,Good,37,18,64200,11.82,33.49,Moderate Utilization,8,0,60,Moderate,55,2667.07,814.88,19.27,Low DTI,1,0.250229913,25.02,Low Risk
C00019,48,36-50,89360,Upper-Middle Income,699,Good,18,8,109800,9.21,25.83,Low Utilization,3,0,85,Strong,82,1465.53,1152.74,15.48,Low DTI,0,0.149870489,14.99,Low Risk
C00020,69,66-75,87600,Upper-Middle Income,631,Fair,22,3,37000,8.84,52.83,Moderate Utilization,8,0,60,Moderate,37,875.75,3689.42,50.54,High DTI,0,0.73144336,73.14,High Risk
C00021,57,51-65,68323,Middle Income,739,Good,18,7,87200,7.34,36.1,Moderate Utilization,6,0,70,Moderate,50,5767.07,2629.87,46.19,High DTI,0,0.500923371,50.09,Medium Risk
