account_id,signup_date,industry,acquisition_channel,plan,seats,mrr,churn_date,churn_flag,usage_events,feature_uses,tickets,avg_resolution_hours,avg_satisfaction,health_score,revenue_at_risk
10001,2025-02-23,Retail,Paid Search,Pro,18,3582,2025-12-11,True,11.0,404.0,3.0,63.06666666666666,2.6333333333333333,62.166666666666664,3582
10002,2026-04-10,Technology,Events,Business,13,6487,,False,2.0,46.0,2.0,25.1,3.3,52.1,0
10003,2026-01-28,Retail,Paid Search,Business,18,8982,,False,1.0,38.0,3.0,28.900000000000002,3.9,52.3,0
10004,2025-09-21,Professional Services,Paid Search,Pro,5,995,,False,6.0,69.0,0.0,0.0,0.0,46.9,0
10005,2025-09-17,Manufacturing,Organic,Enterprise,34,44166,,False,5.0,336.0,3.0,26.2,3.9333333333333336,68.66666666666667,0
10006,2026-05-31,Manufacturing,Organic,Business,14,6986,,False,3.0,87.0,0.0,0.0,0.0,48.7,0
10007,2025-02-21,Technology,Events,Business,12,5988,,False,6.0,151.0,6.0,19.2,3.9333333333333336,57.766666666666666,0
10008,2026-02-23,Financial Services,Paid Search,Starter,2,158,,False,6.0,26.0,1.0,19.3,3.4,52.6,0
10009,2025-05-01,Financial Services,Referral,Pro,8,1592,,False,5.0,89.0,3.0,17.099999999999998,4.666666666666667,61.233333333333334,0
10010,2025-02-26,Retail,Paid Search,Pro,5,995,,False,6.0,64.0,8.0,58.7875,3.6625,47.7125,0
10011,2025-11-12,Retail,Organic,Pro,11,2189,,False,6.0,141.0,7.0,21.285714285714285,3.7714285714285714,55.95714285714285,0
10012,2026-08-09,Healthcare,Partner,Pro,6,1194,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10013,2026-03-18,Retail,Organic,Enterprise,120,155880,,False,3.0,730.0,1.0,44.6,4.1,73.5,0
10014,2026-04-02,Technology,Partner,Enterprise,38,49362,,False,2.0,132.0,0.0,0.0,0.0,53.2,0
10015,2026-03-07,Retail,Paid Search,Starter,3,237,,False,3.0,15.0,0.0,0.0,0.0,41.5,0
10016,2026-04-17,Professional Services,Organic,Pro,5,995,,False,1.0,13.0,1.0,26.6,5.0,59.3,0
10017,2025-11-04,Retail,Organic,Business,33,16467,,False,5.0,329.0,0.0,0.0,0.0,60.0,0
10018,2025-03-18,Professional Services,Partner,Starter,4,316,,False,7.0,53.0,4.0,31.099999999999998,3.95,52.05,0
10019,2026-05-19,Technology,Organic,Starter,3,237,,False,2.0,13.0,0.0,0.0,0.0,41.3,0
10020,2025-09-28,Manufacturing,Organic,Starter,2,158,,False,4.0,18.0,2.0,32.05,4.1,53.3,0
10021,2025-10-28,Technology,Partner,Business,19,9481,,False,2.0,63.0,4.0,30.1,4.05,53.55,0
10022,2025-08-11,Healthcare,Referral,Pro,5,995,,False,7.0,68.0,5.0,44.42,3.6800000000000006,50.2,0
10023,2025-04-20,Healthcare,Referral,Enterprise,75,97425,,False,5.0,761.0,1.0,85.4,3.0,68.0,0
10024,2026-07-11,Financial Services,Organic,Pro,11,2189,,False,1.0,27.0,0.0,0.0,0.0,42.7,0
10025,2026-04-14,Manufacturing,Partner,Enterprise,47,61053,,False,2.0,195.0,0.0,0.0,0.0,59.5,0
10026,2026-01-22,Technology,Referral,Starter,1,79,,False,8.0,29.0,1.0,66.3,3.9,55.4,0
10027,2025-08-30,Professional Services,Organic,Business,13,6487,,False,7.0,172.0,1.0,34.4,4.3,71.7,0
10028,2026-05-09,Professional Services,Referral,Starter,4,316,,False,1.0,8.0,1.0,17.2,4.9,58.3,0
10029,2025-11-24,Financial Services,Organic,Pro,12,2388,,False,5.0,124.0,2.0,12.7,3.7,61.9,0
10030,2025-09-24,Financial Services,Referral,Business,27,13473,,False,6.0,334.0,5.0,23.86,3.9800000000000004,64.9,0
10031,2025-09-28,Manufacturing,Organic,Business,10,4990,,False,5.0,112.0,2.0,98.7,4.05,62.45,0
10032,2025-05-17,Retail,Organic,Business,20,9980,,False,5.0,197.0,2.0,36.45,4.05,70.95,0
10033,2025-02-25,Professional Services,Referral,Starter,4,316,,False,11.0,70.0,0.0,0.0,0.0,47.0,0
10034,2025-11-29,Manufacturing,Partner,Starter,2,158,,False,3.0,15.0,2.0,21.25,3.5,50.0,0
10035,2026-06-17,Healthcare,Organic,Starter,3,237,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10036,2025-02-08,Healthcare,Organic,Starter,3,237,,False,11.0,79.0,2.0,55.35,4.75,62.65,0
10037,2026-05-30,Retail,Events,Pro,7,1393,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10038,2026-05-12,Retail,Events,Pro,4,796,,False,5.0,39.0,0.0,0.0,0.0,43.9,0
10039,2025-06-16,Retail,Paid Search,Business,16,7984,,False,8.0,238.0,0.0,0.0,0.0,60.0,0
10040,2026-01-14,Healthcare,Organic,Business,16,7984,,False,1.0,33.0,1.0,125.6,4.3,57.8,0
10041,2025-04-10,Professional Services,Referral,Pro,8,1592,,False,8.0,129.0,2.0,12.6,4.05,64.14999999999999,0
10042,2026-03-31,Manufacturing,Organic,Business,15,7485,,False,3.0,85.0,0.0,0.0,0.0,48.5,0
10043,2026-02-25,Professional Services,Organic,Starter,3,237,,False,3.0,14.0,0.0,0.0,0.0,41.4,0
10044,2025-08-01,Retail,Referral,Starter,3,237,,False,6.0,31.0,1.0,26.7,3.9,55.6,0
10045,2025-02-10,Professional Services,Paid Search,Pro,9,1791,,False,7.0,124.0,2.0,5.9,4.4,65.4,0
10046,2026-08-06,Financial Services,Referral,Business,16,7984,,False,1.0,24.0,0.0,0.0,0.0,42.4,0
10047,2025-09-25,Healthcare,Paid Search,Starter,3,237,,False,5.0,24.0,2.0,28.75,3.2,49.4,0
10048,2026-06-20,Manufacturing,Referral,Pro,8,1592,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10049,2026-02-11,Healthcare,Referral,Pro,4,796,,False,4.0,29.0,1.0,18.3,4.6,58.9,0
10050,2026-04-13,Professional Services,Partner,Starter,4,316,,False,1.0,10.0,1.0,25.5,3.3,50.5,0
10051,2026-04-01,Professional Services,Partner,Starter,3,237,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10052,2025-04-27,Manufacturing,Referral,Business,18,8982,,False,5.0,186.0,3.0,57.699999999999996,3.6666666666666665,65.93333333333332,0
10053,2025-08-07,Retail,Paid Search,Pro,11,2189,,False,6.0,125.0,2.0,83.6,2.9,58.0,0
10054,2025-10-08,Technology,Organic,Starter,2,158,,False,6.0,18.0,2.0,33.7,3.5,50.3,0
10055,2025-10-26,Healthcare,Organic,Business,9,4491,,False,2.0,41.0,0.0,0.0,0.0,44.1,0
10056,2025-01-27,Financial Services,Partner,Starter,3,237,,False,6.0,40.0,5.0,32.82,4.0,49.0,0
10057,2025-11-24,Technology,Organic,Business,18,8982,,False,4.0,131.0,2.0,22.25,4.05,64.35,0
10058,2025-04-03,Healthcare,Referral,Starter,3,237,,False,5.0,23.0,0.0,0.0,0.0,42.3,0
10059,2026-03-23,Financial Services,Referral,Pro,7,1393,,False,1.0,17.0,1.0,61.9,2.7,48.2,0
10060,2026-02-14,Financial Services,Organic,Starter,4,316,,False,1.0,7.0,2.0,21.15,3.7,50.2,0
10061,2026-07-08,Manufacturing,Organic,Starter,4,316,,False,1.0,7.0,1.0,18.3,3.4,50.7,0
10062,2026-03-23,Retail,Referral,Business,21,10479,,False,2.0,59.0,1.0,23.2,4.6,61.9,0
10063,2025-08-08,Retail,Events,Starter,3,237,,False,6.0,34.0,2.0,31.0,3.7,52.9,0
10064,2026-08-04,Financial Services,Paid Search,Starter,1,79,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10065,2025-09-04,Professional Services,Referral,Starter,4,316,,False,5.0,43.0,2.0,20.35,4.4,57.3,0
10066,2025-07-15,Technology,Organic,Pro,12,2388,,False,8.0,193.0,5.0,43.46,3.8200000000000003,63.4,0
