cohort_month,signups,churn_rate,starting_mrr
2025-01,58,0.1206896551724138,619520
2025-02,56,0.125,313858
2025-03,74,0.13513513513513514,576891
2025-04,63,0.20634920634920634,579705
2025-05,48,0.125,302823
2025-06,54,0.09259259259259259,589670
2025-07,57,0.05263157894736842,200856
2025-08,45,0.08888888888888889,175942
2025-09,72,0.05555555555555555,356388
2025-10,74,0.08108108108108109,702258
2025-11,66,0.09090909090909091,532831
2025-12,56,0.017857142857142856,359730
2026-01,60,0.1,169100
2026-02,57,0.05263157894736842,241801
2026-03,62,0.016129032258064516,500977
2026-04,76,0.013157894736842105,726117
2026-05,72,0.013888888888888888,396038
2026-06,38,0.02631578947368421,225722
2026-07,69,0.0,438338
2026-08,43,0.0,529413
