account_id,signup_date,industry,acquisition_channel,plan,seats,mrr,churn_date,churn_flag
10001,2025-02-23,Retail,Paid Search,Pro,18,3582,2025-12-11,True
10002,2026-04-10,Technology,Events,Business,13,6487,,False
10003,2026-01-28,Retail,Paid Search,Business,18,8982,,False
10004,2025-09-21,Professional Services,Paid Search,Pro,5,995,,False
10005,2025-09-17,Manufacturing,Organic,Enterprise,34,44166,,False
10006,2026-05-31,Manufacturing,Organic,Business,14,6986,,False
10007,2025-02-21,Technology,Events,Business,12,5988,,False
10008,2026-02-23,Financial Services,Paid Search,Starter,2,158,,False
10009,2025-05-01,Financial Services,Referral,Pro,8,1592,,False
10010,2025-02-26,Retail,Paid Search,Pro,5,995,,False
10011,2025-11-12,Retail,Organic,Pro,11,2189,,False
10012,2026-08-09,Healthcare,Partner,Pro,6,1194,,False
10013,2026-03-18,Retail,Organic,Enterprise,120,155880,,False
10014,2026-04-02,Technology,Partner,Enterprise,38,49362,,False
10015,2026-03-07,Retail,Paid Search,Starter,3,237,,False
10016,2026-04-17,Professional Services,Organic,Pro,5,995,,False
10017,2025-11-04,Retail,Organic,Business,33,16467,,False
10018,2025-03-18,Professional Services,Partner,Starter,4,316,,False
10019,2026-05-19,Technology,Organic,Starter,3,237,,False
10020,2025-09-28,Manufacturing,Organic,Starter,2,158,,False
10021,2025-10-28,Technology,Partner,Business,19,9481,,False
10022,2025-08-11,Healthcare,Referral,Pro,5,995,,False
10023,2025-04-20,Healthcare,Referral,Enterprise,75,97425,,False
10024,2026-07-11,Financial Services,Organic,Pro,11,2189,,False
10025,2026-04-14,Manufacturing,Partner,Enterprise,47,61053,,False
10026,2026-01-22,Technology,Referral,Starter,1,79,,False
10027,2025-08-30,Professional Services,Organic,Business,13,6487,,False
10028,2026-05-09,Professional Services,Referral,Starter,4,316,,False
10029,2025-11-24,Financial Services,Organic,Pro,12,2388,,False
10030,2025-09-24,Financial Services,Referral,Business,27,13473,,False
10031,2025-09-28,Manufacturing,Organic,Business,10,4990,,False
10032,2025-05-17,Retail,Organic,Business,20,9980,,False
10033,2025-02-25,Professional Services,Referral,Starter,4,316,,False
10034,2025-11-29,Manufacturing,Partner,Starter,2,158,,False
10035,2026-06-17,Healthcare,Organic,Starter,3,237,,False
10036,2025-02-08,Healthcare,Organic,Starter,3,237,,False
10037,2026-05-30,Retail,Events,Pro,7,1393,,False
10038,2026-05-12,Retail,Events,Pro,4,796,,False
10039,2025-06-16,Retail,Paid Search,Business,16,7984,,False
10040,2026-01-14,Healthcare,Organic,Business,16,7984,,False
10041,2025-04-10,Professional Services,Referral,Pro,8,1592,,False
10042,2026-03-31,Manufacturing,Organic,Business,15,7485,,False
10043,2026-02-25,Professional Services,Organic,Starter,3,237,,False
10044,2025-08-01,Retail,Referral,Starter,3,237,,False
10045,2025-02-10,Professional Services,Paid Search,Pro,9,1791,,False
10046,2026-08-06,Financial Services,Referral,Business,16,7984,,False
10047,2025-09-25,Healthcare,Paid Search,Starter,3,237,,False
10048,2026-06-20,Manufacturing,Referral,Pro,8,1592,,False
10049,2026-02-11,Healthcare,Referral,Pro,4,796,,False
10050,2026-04-13,Professional Services,Partner,Starter,4,316,,False
10051,2026-04-01,Professional Services,Partner,Starter,3,237,,False
10052,2025-04-27,Manufacturing,Referral,Business,18,8982,,False
10053,2025-08-07,Retail,Paid Search,Pro,11,2189,,False
10054,2025-10-08,Technology,Organic,Starter,2,158,,False
10055,2025-10-26,Healthcare,Organic,Business,9,4491,,False
10056,2025-01-27,Financial Services,Partner,Starter,3,237,,False
10057,2025-11-24,Technology,Organic,Business,18,8982,,False
10058,2025-04-03,Healthcare,Referral,Starter,3,237,,False
10059,2026-03-23,Financial Services,Referral,Pro,7,1393,,False
10060,2026-02-14,Financial Services,Organic,Starter,4,316,,False
10061,2026-07-08,Manufacturing,Organic,Starter,4,316,,False
10062,2026-03-23,Retail,Referral,Business,21,10479,,False
10063,2025-08-08,Retail,Events,Starter,3,237,,False
10064,2026-08-04,Financial Services,Paid Search,Starter,1,79,,False
10065,2025-09-04,Professional Services,Referral,Starter,4,316,,False
10066,2025-07-15,Technology,Organic,Pro,12,2388,,False
10067,2026-06-28,Manufacturing,Paid Search,Business,23,11477,,False
10068,2025-08-11,Professional Services,Organic,Enterprise,33,42867,,False
10069,2025-02-15,Financial Services,Paid Search,Starter,4,316,,False
10070,2025-10-09,Professional Services,Partner,Starter,4,316,,False
10071,2026-04-23,Professional Services,Referral,Starter,5,395,,False
10072,2025-04-24,Financial Services,Referral,Pro,6,1194,2025-08-16,True
10073,2025-10-05,Healthcare,Organic,Enterprise,42,54558,,False
10074,2025-03-19,Retail,Organic,Pro,10,1990,,False
10075,2026-02-16,Technology,Referral,Pro,8,1592,,False
10076,2025-10-13,Professional Services,Events,Starter,2,158,,False
10077,2025-07-18,Technology,Organic,Business,21,10479,,False
10078,2025-05-17,Manufacturing,Paid Search,Pro,10,1990,,False
10079,2025-12-05,Professional Services,Paid Search,Starter,3,237,,False
10080,2026-02-06,Retail,Organic,Starter,3,237,,False
10081,2026-07-19,Technology,Organic,Starter,3,237,,False
10082,2025-09-20,Retail,Referral,Starter,5,395,,False
10083,2025-04-07,Manufacturing,Paid Search,Starter,2,158,2026-02-21,True
10084,2026-05-15,Retail,Referral,Pro,7,1393,,False
10085,2026-01-13,Financial Services,Partner,Pro,8,1592,,False
10086,2026-02-25,Professional Services,Partner,Starter,4,316,,False
10087,2025-02-28,Technology,Partner,Pro,5,995,,False
10088,2025-07-07,Healthcare,Events,Enterprise,28,36372,,False
10089,2026-04-06,Technology,Partner,Business,9,4491,,False
10090,2026-05-15,Retail,Partner,Pro,8,1592,,False
10091,2025-09-19,Professional Services,Partner,Starter,2,158,,False
10092,2026-04-28,Technology,Partner,Business,16,7984,,False
10093,2026-05-21,Financial Services,Partner,Starter,4,316,,False
10094,2025-08-21,Manufacturing,Events,Starter,2,158,,False
10095,2026-06-23,Technology,Referral,Business,20,9980,,False
10096,2025-06-22,Healthcare,Paid Search,Pro,7,1393,,False
10097,2025-05-24,Financial Services,Paid Search,Business,23,11477,,False
10098,2026-02-14,Healthcare,Partner,Pro,9,1791,,False
10099,2026-01-18,Technology,Referral,Pro,6,1194,,False
10100,2025-03-25,Manufacturing,Partner,Starter,3,237,,False
10101,2026-05-15,Technology,Partner,Starter,4,316,,False
10102,2025-04-30,Manufacturing,Events,Starter,3,237,,False
10103,2026-04-28,Financial Services,Organic,Starter,2,158,,False
10104,2025-01-05,Retail,Paid Search,Business,23,11477,,False
10105,2026-04-24,Technology,Partner,Starter,2,158,,False
10106,2026-04-18,Financial Services,Events,Pro,13,2587,,False
10107,2026-04-14,Technology,Events,Business,26,12974,,False
10108,2026-02-03,Financial Services,Paid Search,Business,20,9980,,False
10109,2025-10-10,Healthcare,Paid Search,Pro,8,1592,,False
10110,2026-02-28,Professional Services,Organic,Pro,7,1393,,False
10111,2025-06-16,Professional Services,Events,Enterprise,57,74043,,False
10112,2026-04-14,Professional Services,Organic,Pro,7,1393,,False
10113,2025-11-30,Professional Services,Partner,Business,20,9980,,False
10114,2025-10-03,Technology,Partner,Business,24,11976,,False
10115,2025-10-31,Professional Services,Referral,Business,15,7485,,False
10116,2025-12-08,Financial Services,Organic,Starter,2,158,,False
10117,2025-01-23,Professional Services,Organic,Pro,5,995,,False
10118,2025-03-25,Healthcare,Partner,Starter,2,158,2025-11-14,True
10119,2025-05-28,Healthcare,Paid Search,Pro,4,796,,False
10120,2025-03-10,Healthcare,Organic,Enterprise,58,75342,2026-02-22,True
10121,2025-09-21,Financial Services,Paid Search,Pro,15,2985,,False
10122,2026-02-06,Professional Services,Organic,Pro,13,2587,,False
10123,2026-01-28,Manufacturing,Partner,Starter,2,158,,False
10124,2025-10-10,Professional Services,Referral,Enterprise,58,75342,,False
10125,2026-05-29,Retail,Organic,Starter,5,395,,False
10126,2025-12-06,Retail,Organic,Starter,3,237,,False
10127,2025-02-17,Healthcare,Paid Search,Starter,3,237,,False
10128,2026-04-04,Financial Services,Referral,Starter,1,79,,False
10129,2025-12-11,Healthcare,Partner,Pro,9,1791,,False
10130,2026-01-16,Manufacturing,Referral,Pro,6,1194,,False
10131,2025-12-06,Retail,Referral,Starter,3,237,,False
10132,2025-11-29,Manufacturing,Organic,Starter,2,158,,False
10133,2025-02-24,Professional Services,Organic,Starter,4,316,,False
10134,2025-12-02,Manufacturing,Events,Starter,4,316,,False
10135,2026-04-22,Professional Services,Organic,Starter,2,158,,False
10136,2025-07-02,Manufacturing,Events,Pro,5,995,,False
10137,2025-12-28,Retail,Referral,Starter,1,79,,False
10138,2025-01-19,Manufacturing,Organic,Starter,3,237,,False
10139,2025-07-28,Technology,Organic,Starter,2,158,,False
10140,2025-09-20,Retail,Organic,Starter,2,158,,False
10141,2026-08-13,Manufacturing,Partner,Starter,4,316,,False
10142,2025-05-09,Technology,Paid Search,Starter,3,237,,False
10143,2025-06-15,Professional Services,Referral,Business,12,5988,,False
10144,2025-09-03,Technology,Paid Search,Starter,2,158,,False
10145,2026-08-19,Professional Services,Paid Search,Pro,12,2388,,False
10146,2026-05-28,Retail,Events,Pro,10,1990,,False
10147,2025-01-21,Financial Services,Events,Starter,3,237,2025-11-07,True
10148,2025-05-21,Professional Services,Paid Search,Pro,10,1990,,False
10149,2026-05-09,Technology,Partner,Business,12,5988,,False
10150,2025-02-04,Professional Services,Partner,Business,18,8982,2025-10-27,True
10151,2026-05-29,Manufacturing,Referral,Starter,3,237,,False
10152,2025-06-18,Manufacturing,Paid Search,Starter,3,237,,False
10153,2026-07-05,Professional Services,Organic,Starter,3,237,,False
10154,2025-06-26,Professional Services,Partner,Pro,6,1194,,False
10155,2025-09-18,Technology,Events,Pro,10,1990,,False
10156,2026-02-02,Manufacturing,Organic,Starter,4,316,,False
10157,2025-03-17,Healthcare,Partner,Starter,1,79,,False
10158,2025-12-01,Healthcare,Events,Business,27,13473,,False
10159,2025-10-31,Professional Services,Organic,Starter,1,79,2026-03-02,True
10160,2026-04-16,Financial Services,Paid Search,Pro,6,1194,,False
10161,2026-08-21,Technology,Events,Pro,11,2189,,False
10162,2026-02-03,Healthcare,Events,Starter,3,237,,False
10163,2025-09-03,Financial Services,Organic,Starter,2,158,,False
10164,2025-09-01,Professional Services,Referral,Starter,2,158,,False
10165,2025-09-08,Healthcare,Paid Search,Business,26,12974,,False
10166,2026-05-04,Financial Services,Organic,Starter,2,158,,False
10167,2025-07-12,Retail,Referral,Starter,4,316,,False
10168,2025-04-11,Professional Services,Organic,Starter,3,237,,False
10169,2025-07-20,Technology,Organic,Starter,2,158,,False
10170,2025-01-14,Manufacturing,Paid Search,Pro,7,1393,,False
10171,2025-03-05,Professional Services,Paid Search,Starter,2,158,,False
10172,2025-02-24,Professional Services,Paid Search,Pro,11,2189,,False
