usage_id,account_id,usage_date,feature_name,usage_count,duration_sec
1,10001,2025-05-13,Reporting,29,616
2,10001,2025-10-02,Automation,32,1093
3,10001,2025-09-30,Integrations,41,248
4,10001,2025-10-14,Collaboration,48,1353
5,10001,2025-05-18,Analytics,39,1092
6,10001,2025-04-13,Integrations,31,283
7,10001,2025-04-01,Integrations,31,959
8,10001,2025-11-29,Integrations,35,1399
9,10001,2025-03-02,Reporting,38,1632
10,10001,2025-08-07,Collaboration,42,693
11,10001,2025-07-28,Automation,38,1703
12,10002,2026-07-07,Collaboration,22,549
13,10002,2026-04-18,Integrations,24,1265
14,10003,2026-05-07,Automation,38,294
15,10004,2026-01-28,Reporting,18,1108
16,10004,2026-07-14,Integrations,12,1442
17,10004,2026-04-25,Integrations,10,1741
18,10004,2026-01-09,Reporting,8,1457
19,10004,2025-11-10,Reporting,12,1209
20,10004,2026-06-24,Automation,9,759
21,10005,2026-05-26,Reporting,71,1304
22,10005,2026-02-22,Reporting,75,651
23,10005,2026-01-26,Automation,68,1096
24,10005,2026-01-07,Integrations,59,670
25,10005,2025-11-14,Analytics,63,391
26,10006,2026-08-11,Analytics,33,510
27,10006,2026-08-22,Integrations,23,1252
28,10006,2026-06-04,Collaboration,31,1033
29,10007,2025-03-23,Integrations,26,1709
30,10007,2025-03-15,Reporting,23,1687
31,10007,2026-04-15,Collaboration,22,736
32,10007,2025-02-26,Reporting,26,1576
33,10007,2025-06-25,Collaboration,28,816
34,10007,2025-08-20,Integrations,26,1792
35,10008,2026-07-24,Integrations,3,605
36,10008,2026-05-20,Integrations,7,1580
37,10008,2026-04-08,Automation,1,1597
38,10008,2026-05-05,Analytics,9,1478
39,10008,2026-03-19,Reporting,3,1797
40,10008,2026-03-04,Collaboration,3,1407
41,10009,2025-05-17,Analytics,26,1503
42,10009,2025-07-10,Analytics,15,1325
43,10009,2026-06-06,Integrations,15,1439
44,10009,2026-01-16,Automation,14,1388
45,10009,2026-02-19,Reporting,19,472
46,10010,2025-07-06,Reporting,13,1006
47,10010,2025-10-10,Analytics,13,32
48,10010,2026-04-19,Integrations,9,1688
49,10010,2026-01-24,Automation,14,354
50,10010,2025-03-21,Analytics,9,946
51,10010,2026-03-16,Reporting,6,727
52,10011,2025-12-20,Collaboration,28,457
53,10011,2026-03-07,Integrations,18,301
54,10011,2026-02-18,Collaboration,22,228
55,10011,2026-04-30,Reporting,28,141
56,10011,2026-08-26,Automation,22,513
57,10011,2026-03-03,Collaboration,23,902
58,10013,2026-04-20,Reporting,257,892
59,10013,2026-07-29,Reporting,222,1660
60,10013,2026-06-10,Collaboration,251,581
61,10014,2026-06-19,Analytics,64,274
62,10014,2026-05-18,Reporting,68,1104
63,10015,2026-07-08,Automation,4,978
64,10015,2026-07-18,Automation,4,1537
65,10015,2026-05-26,Automation,7,678
66,10016,2026-05-10,Automation,13,148
67,10017,2026-06-26,Reporting,64,1754
68,10017,2026-06-19,Automation,58,1112
69,10017,2026-04-22,Integrations,69,448
70,10017,2026-03-25,Integrations,67,1699
71,10017,2026-06-26,Analytics,71,1093
72,10018,2025-06-05,Reporting,7,769
73,10018,2026-03-24,Collaboration,9,765
74,10018,2025-08-06,Integrations,7,1264
75,10018,2025-05-31,Automation,11,1462
76,10018,2026-01-20,Integrations,6,1166
77,10018,2025-04-01,Analytics,8,143
78,10018,2025-09-13,Automation,5,193
79,10019,2026-07-09,Automation,8,328
80,10019,2026-06-08,Automation,5,1165
81,10020,2026-03-18,Integrations,6,1489
82,10020,2026-06-20,Integrations,2,700
83,10020,2025-10-01,Reporting,5,900
84,10020,2025-12-24,Reporting,5,1662
85,10021,2026-04-02,Analytics,32,1282
86,10021,2025-12-16,Reporting,31,1558
87,10022,2025-12-15,Analytics,8,1686
88,10022,2026-03-15,Reporting,13,866
89,10022,2026-07-29,Analytics,10,114
90,10022,2026-06-04,Integrations,14,441
91,10022,2026-03-09,Automation,8,1228
92,10022,2026-06-28,Reporting,8,1277
93,10022,2025-11-19,Analytics,7,118
94,10023,2025-11-29,Integrations,139,226
95,10023,2025-07-17,Automation,153,200
96,10023,2026-05-15,Analytics,154,1091
97,10023,2026-06-07,Collaboration,161,1717
98,10023,2025-08-05,Analytics,154,300
99,10024,2026-08-02,Reporting,27,778
100,10025,2026-06-14,Integrations,94,565
101,10025,2026-04-21,Integrations,101,82
102,10026,2026-02-24,Analytics,2,287
103,10026,2026-08-13,Reporting,1,426
104,10026,2026-03-06,Analytics,5,520
105,10026,2026-06-08,Integrations,7,169
106,10026,2026-04-15,Analytics,8,520
107,10026,2026-05-12,Collaboration,2,632
108,10026,2026-06-08,Integrations,2,635
109,10026,2026-06-10,Automation,2,350
110,10027,2025-11-06,Collaboration,30,1171
111,10027,2025-10-29,Automation,33,217
112,10027,2026-06-28,Collaboration,29,1184
113,10027,2025-11-30,Analytics,23,665
114,10027,2026-05-30,Automation,18,1088
115,10027,2026-08-20,Integrations,17,1577
116,10027,2026-01-16,Automation,22,649
117,10028,2026-05-14,Automation,8,1553
118,10029,2026-03-30,Automation,28,456
119,10029,2026-02-08,Integrations,23,1504
120,10029,2026-01-10,Integrations,25,1103
121,10029,2026-02-15,Integrations,21,77
122,10029,2026-05-18,Collaboration,27,1572
123,10030,2025-10-16,Reporting,59,786
124,10030,2025-11-10,Integrations,54,1710
125,10030,2026-08-10,Automation,45,317
126,10030,2026-07-04,Automation,60,515
127,10030,2026-08-15,Automation,61,286
128,10030,2026-04-25,Analytics,55,1398
129,10031,2026-04-07,Reporting,25,560
130,10031,2026-01-11,Integrations,22,1330
131,10031,2026-04-29,Reporting,19,88
132,10031,2025-10-21,Collaboration,21,267
133,10031,2026-08-21,Collaboration,25,1601
134,10032,2026-05-07,Collaboration,35,1069
135,10032,2025-05-22,Reporting,39,202
136,10032,2025-07-03,Analytics,40,1503
137,10032,2025-06-04,Collaboration,38,1063
138,10032,2025-08-26,Collaboration,45,180
139,10033,2025-10-04,Reporting,4,117
140,10033,2025-04-01,Reporting,7,794
141,10033,2026-02-18,Integrations,7,1112
142,10033,2025-10-25,Reporting,2,943
143,10033,2025-10-10,Automation,10,557
144,10033,2025-07-09,Integrations,9,1174
145,10033,2025-05-08,Automation,4,1527
146,10033,2025-07-14,Integrations,7,49
147,10033,2025-08-20,Analytics,5,1167
148,10033,2025-12-07,Integrations,7,37
149,10033,2025-12-04,Collaboration,8,861
150,10034,2025-12-20,Automation,6,829
151,10034,2026-06-21,Automation,6,1468
152,10034,2026-02-08,Integrations,3,597
153,10036,2025-12-20,Integrations,8,951
154,10036,2025-07-03,Automation,6,1393
155,10036,2025-03-25,Automation,7,338
156,10036,2025-06-15,Collaboration,6,1471
157,10036,2026-03-07,Analytics,11,1795
158,10036,2025-05-09,Analytics,2,1527
159,10036,2025-11-06,Automation,7,1257
