ticket_id,account_id,ticket_date,priority,resolution_hours,satisfaction_score
1,10001,2025-11-01,Normal,57.9,3.2
2,10001,2025-10-14,Low,89.8,2.2
3,10001,2025-08-07,Normal,41.5,2.5
4,10002,2026-08-14,Normal,33.7,3.2
5,10002,2026-06-16,High,16.5,3.4
6,10003,2026-05-18,Normal,40.9,4.3
7,10003,2026-03-21,High,12.2,3.5
8,10003,2026-06-10,Normal,33.6,3.9
9,10005,2026-05-29,Normal,51.4,3.6
10,10005,2025-11-08,High,9.0,4.4
11,10005,2026-03-30,High,18.2,3.8
12,10007,2025-08-07,High,15.0,4.6
13,10007,2025-09-13,Normal,38.6,3.4
14,10007,2025-07-08,Normal,20.5,3.8
15,10007,2025-02-27,High,10.1,3.7
16,10007,2025-03-17,Urgent,9.1,3.6
17,10007,2025-05-09,High,21.9,4.5
18,10008,2026-06-07,High,19.3,3.4
19,10009,2025-12-21,High,15.7,4.2
20,10009,2025-08-09,Normal,22.2,4.8
21,10009,2025-08-09,High,13.4,5.0
22,10010,2026-01-08,Normal,45.5,3.6
23,10010,2025-09-22,Normal,68.8,3.2
24,10010,2025-08-06,Normal,26.1,4.2
25,10010,2025-10-27,Normal,58.2,3.7
26,10010,2026-01-06,Low,111.5,4.2
27,10010,2025-03-01,Normal,43.5,3.2
28,10010,2026-04-18,Low,71.1,3.9
29,10010,2025-11-28,Normal,45.6,3.3
30,10011,2026-03-31,Urgent,6.0,4.3
31,10011,2026-04-07,Normal,32.8,3.1
32,10011,2026-06-12,Normal,33.6,4.0
33,10011,2026-03-06,Normal,44.0,3.4
34,10011,2026-05-16,High,10.7,4.2
35,10011,2026-05-18,High,11.8,4.8
36,10011,2026-05-08,Urgent,10.1,2.6
37,10013,2026-06-05,Normal,44.6,4.1
38,10016,2026-05-04,High,26.6,5.0
39,10018,2025-10-23,Low,51.3,3.7
40,10018,2026-04-26,Normal,50.4,4.0
41,10018,2025-09-16,High,16.0,4.2
42,10018,2025-07-04,Urgent,6.7,3.9
43,10020,2025-11-19,Normal,50.3,3.5
44,10020,2026-03-16,High,13.8,4.7
45,10021,2026-06-09,High,26.3,4.2
