REF_DATE,GEO,Type of structure,VALUE
2018-01-01,Alberta,Non-residential,437.0
2018-02-01,Alberta,Non-residential,479.0
2018-03-01,Alberta,Non-residential,529.0
2018-04-01,Alberta,Non-residential,589.0
2018-05-01,Alberta,Non-residential,571.0
2018-06-01,Alberta,Non-residential,629.0
2018-07-01,Alberta,Non-residential,599.0
2018-08-01,Alberta,Non-residential,621.0
2018-09-01,Alberta,Non-residential,522.0
2018-10-01,Alberta,Non-residential,519.0
2018-11-01,Alberta,Non-residential,516.0
2018-12-01,Alberta,Non-residential,446.0
2019-01-01,Alberta,Non-residential,452.0
2019-02-01,Alberta,Non-residential,514.0
2019-03-01,Alberta,Non-residential,557.0
2019-04-01,Alberta,Non-residential,575.0
2019-05-01,Alberta,Non-residential,659.0
2019-06-01,Alberta,Non-residential,723.0
2019-07-01,Alberta,Non-residential,639.0
2019-08-01,Alberta,Non-residential,608.0
2019-09-01,Alberta,Non-residential,535.0
2019-10-01,Alberta,Non-residential,532.0
2019-11-01,Alberta,Non-residential,449.0
2019-12-01,Alberta,Non-residential,442.0
2020-01-01,Alberta,Non-residential,533.0
2020-02-01,Alberta,Non-residential,500.0
2020-03-01,Alberta,Non-residential,614.0
2020-04-01,Alberta,Non-residential,677.0
2020-05-01,Alberta,Non-residential,674.0
2020-06-01,Alberta,Non-residential,698.0
2020-07-01,Alberta,Non-residential,731.0
2020-08-01,Alberta,Non-residential,630.0
2020-09-01,Alberta,Non-residential,571.0
2020-10-01,Alberta,Non-residential,501.0
2020-11-01,Alberta,Non-residential,512.0
2020-12-01,Alberta,Non-residential,547.0
2021-01-01,Alberta,Non-residential,545.0
2021-02-01,Alberta,Non-residential,521.0
2021-03-01,Alberta,Non-residential,573.0
2021-04-01,Alberta,Non-residential,634.0
2021-05-01,Alberta,Non-residential,697.0
2021-06-01,Alberta,Non-residential,695.0
2021-07-01,Alberta,Non-residential,698.0
2021-08-01,Alberta,Non-residential,667.0
2021-09-01,Alberta,Non-residential,602.0
2021-10-01,Alberta,Non-residential,564.0
2021-11-01,Alberta,Non-residential,539.0
2021-12-01,Alberta,Non-residential,519.0
2022-01-01,Alberta,Non-residential,552.0
2022-02-01,Alberta,Non-residential,632.0
2022-03-01,Alberta,Non-residential,641.0
2022-04-01,Alberta,Non-residential,674.0
2022-05-01,Alberta,Non-residential,655.0
2022-06-01,Alberta,Non-residential,736.0
2022-07-01,Alberta,Non-residential,650.0
2022-08-01,Alberta,Non-residential,634.0
2022-09-01,Alberta,Non-residential,661.0
2022-10-01,Alberta,Non-residential,610.0
2022-11-01,Alberta,Non-residential,549.0
2022-12-01,Alberta,Non-residential,488.0
2023-01-01,Alberta,Non-residential,546.0
2023-02-01,Alberta,Non-residential,573.0
2023-03-01,Alberta,Non-residential,664.0
2023-04-01,Alberta,Non-residential,766.0
2023-05-01,Alberta,Non-residential,738.0
2023-06-01,Alberta,Non-residential,720.0
2023-07-01,Alberta,Non-residential,697.0
2023-08-01,Alberta,Non-residential,699.0
2023-09-01,Alberta,Non-residential,649.0
2023-10-01,Alberta,Non-residential,572.0
