decision_date,overnight_rate,change_bps,decision_type
2020-01-22,1.75,0,hold
2020-03-04,1.25,-50,cut
2020-03-13,0.75,-50,cut
2020-03-27,0.25,-50,cut
2020-04-15,0.25,0,hold
2020-06-03,0.25,0,hold
2020-07-15,0.25,0,hold
2020-09-09,0.25,0,hold
2020-10-28,0.25,0,hold
2020-12-09,0.25,0,hold
2021-01-20,0.25,0,hold
2021-03-10,0.25,0,hold
2021-04-21,0.25,0,hold
2021-06-09,0.25,0,hold
2021-07-14,0.25,0,hold
2021-09-08,0.25,0,hold
2021-10-27,0.25,0,hold
2021-12-08,0.25,0,hold
2022-01-26,0.25,0,hold
2022-03-02,0.50,25,hike
2022-04-13,1.00,50,hike
2022-06-01,1.50,50,hike
2022-07-13,2.50,100,hike
2022-09-07,3.25,75,hike
2022-10-26,3.75,50,hike
2022-12-07,4.25,50,hike
2023-01-25,4.50,25,hike
2023-03-08,4.50,0,hold
2023-04-12,4.50,0,hold
2023-06-07,4.75,25,hike
2023-07-12,5.00,25,hike
2023-09-06,5.00,0,hold
2023-10-25,5.00,0,hold
2023-12-06,5.00,0,hold
2024-01-24,5.00,0,hold
2024-03-06,5.00,0,hold
2024-04-10,5.00,0,hold
2024-06-05,4.75,-25,cut
2024-07-24,4.50,-25,cut
2024-09-04,4.25,-25,cut
2024-10-23,3.75,-50,cut
2024-12-11,3.25,-50,cut
2025-01-29,3.00,-25,cut
2025-03-12,2.75,-25,cut
2025-04-16,2.75,0,hold
2025-06-04,2.75,0,hold
2025-07-30,2.75,0,hold
2025-09-17,2.50,-25,cut
2025-10-29,2.25,-25,cut
2025-12-10,2.25,0,hold
2026-01-28,2.25,0,hold
2026-03-18,2.25,0,hold
2026-04-29,2.25,0,hold
2026-06-10,2.25,0,hold
2026-07-15,2.25,0,hold
